ACCESS	FROM_ID	FROM_TYPE	TO_ID	TO_TYPE	TIME	COST
1	1	ACTIVITY	1	PARKING	0	0
2	1	PARKING	1	ACTIVITY	0	0
3	2	ACTIVITY	2	PARKING	0	0
4	2	PARKING	2	ACTIVITY	0	0
5	3	ACTIVITY	3	PARKING	0	0
6	3	PARKING	3	ACTIVITY	0	0
7	4	ACTIVITY	4	PARKING	0	0
8	4	PARKING	4	ACTIVITY	0	0
9	5	ACTIVITY	5	PARKING	0	0
10	5	PARKING	5	ACTIVITY	0	0
11	6	ACTIVITY	6	PARKING	0	0
12	6	PARKING	6	ACTIVITY	0	0
13	7	ACTIVITY	7	PARKING	0	0
14	7	PARKING	7	ACTIVITY	0	0
15	8	ACTIVITY	8	PARKING	0	0
16	8	PARKING	8	ACTIVITY	0	0
17	9	ACTIVITY	9	PARKING	0	0
18	9	PARKING	9	ACTIVITY	0	0
19	10	ACTIVITY	10	PARKING	0	0
20	10	PARKING	10	ACTIVITY	0	0
21	11	ACTIVITY	11	PARKING	0	0
22	11	PARKING	11	ACTIVITY	0	0
23	12	ACTIVITY	12	PARKING	0	0
24	12	PARKING	12	ACTIVITY	0	0
25	13	ACTIVITY	13	PARKING	0	0
26	13	PARKING	13	ACTIVITY	0	0
27	14	ACTIVITY	14	PARKING	0	0
28	14	PARKING	14	ACTIVITY	0	0
29	15	ACTIVITY	15	PARKING	0	0
30	15	PARKING	15	ACTIVITY	0	0
31	16	ACTIVITY	16	PARKING	0	0
32	16	PARKING	16	ACTIVITY	0	0
33	17	ACTIVITY	17	PARKING	0	0
34	17	PARKING	17	ACTIVITY	0	0
35	18	ACTIVITY	18	PARKING	0	0
36	18	PARKING	18	ACTIVITY	0	0
37	19	ACTIVITY	19	PARKING	0	0
38	19	PARKING	19	ACTIVITY	0	0
39	20	ACTIVITY	20	PARKING	0	0
40	20	PARKING	20	ACTIVITY	0	0
41	21	ACTIVITY	21	PARKING	0	0
42	21	PARKING	21	ACTIVITY	0	0
43	22	ACTIVITY	22	PARKING	0	0
44	22	PARKING	22	ACTIVITY	0	0
45	23	ACTIVITY	23	PARKING	0	0
46	23	PARKING	23	ACTIVITY	0	0
47	24	ACTIVITY	24	PARKING	0	0
48	24	PARKING	24	ACTIVITY	0	0
49	25	ACTIVITY	25	PARKING	0	0
50	25	PARKING	25	ACTIVITY	0	0
51	26	ACTIVITY	26	PARKING	0	0
52	26	PARKING	26	ACTIVITY	0	0
53	27	ACTIVITY	27	PARKING	0	0
54	27	PARKING	27	ACTIVITY	0	0
55	28	ACTIVITY	28	PARKING	0	0
56	28	PARKING	28	ACTIVITY	0	0
57	29	ACTIVITY	29	PARKING	0	0
58	29	PARKING	29	ACTIVITY	0	0
59	30	ACTIVITY	30	PARKING	0	0
60	30	PARKING	30	ACTIVITY	0	0
61	31	ACTIVITY	31	PARKING	0	0
62	31	PARKING	31	ACTIVITY	0	0
63	32	ACTIVITY	32	PARKING	0	0
64	32	PARKING	32	ACTIVITY	0	0
65	33	ACTIVITY	33	PARKING	0	0
66	33	PARKING	33	ACTIVITY	0	0
67	34	ACTIVITY	34	PARKING	0	0
68	34	PARKING	34	ACTIVITY	0	0
69	35	ACTIVITY	35	PARKING	0	0
70	35	PARKING	35	ACTIVITY	0	0
71	36	ACTIVITY	36	PARKING	0	0
72	36	PARKING	36	ACTIVITY	0	0
73	37	ACTIVITY	37	PARKING	0	0
74	37	PARKING	37	ACTIVITY	0	0
75	38	ACTIVITY	38	PARKING	0	0
76	38	PARKING	38	ACTIVITY	0	0
77	39	ACTIVITY	39	PARKING	0	0
78	39	PARKING	39	ACTIVITY	0	0
79	40	ACTIVITY	40	PARKING	0	0
80	40	PARKING	40	ACTIVITY	0	0
81	41	ACTIVITY	41	PARKING	0	0
82	41	PARKING	41	ACTIVITY	0	0
83	42	ACTIVITY	42	PARKING	0	0
84	42	PARKING	42	ACTIVITY	0	0
85	43	ACTIVITY	43	PARKING	0	0
86	43	PARKING	43	ACTIVITY	0	0
87	44	ACTIVITY	44	PARKING	0	0
88	44	PARKING	44	ACTIVITY	0	0
89	45	ACTIVITY	45	PARKING	0	0
90	45	PARKING	45	ACTIVITY	0	0
91	46	ACTIVITY	46	PARKING	0	0
92	46	PARKING	46	ACTIVITY	0	0
93	47	ACTIVITY	47	PARKING	0	0
94	47	PARKING	47	ACTIVITY	0	0
95	48	ACTIVITY	48	PARKING	0	0
96	48	PARKING	48	ACTIVITY	0	0
97	49	ACTIVITY	49	PARKING	0	0
98	49	PARKING	49	ACTIVITY	0	0
99	50	ACTIVITY	50	PARKING	0	0
100	50	PARKING	50	ACTIVITY	0	0
101	51	ACTIVITY	51	PARKING	0	0
102	51	PARKING	51	ACTIVITY	0	0
103	52	ACTIVITY	52	PARKING	0	0
104	52	PARKING	52	ACTIVITY	0	0
105	53	ACTIVITY	53	PARKING	0	0
106	53	PARKING	53	ACTIVITY	0	0
107	54	ACTIVITY	54	PARKING	0	0
108	54	PARKING	54	ACTIVITY	0	0
109	55	ACTIVITY	55	PARKING	0	0
110	55	PARKING	55	ACTIVITY	0	0
111	56	ACTIVITY	56	PARKING	0	0
112	56	PARKING	56	ACTIVITY	0	0
113	57	ACTIVITY	57	PARKING	0	0
114	57	PARKING	57	ACTIVITY	0	0
115	58	ACTIVITY	58	PARKING	0	0
116	58	PARKING	58	ACTIVITY	0	0
117	59	ACTIVITY	59	PARKING	0	0
118	59	PARKING	59	ACTIVITY	0	0
119	60	ACTIVITY	60	PARKING	0	0
120	60	PARKING	60	ACTIVITY	0	0
121	61	ACTIVITY	61	PARKING	0	0
122	61	PARKING	61	ACTIVITY	0	0
123	62	ACTIVITY	62	PARKING	0	0
124	62	PARKING	62	ACTIVITY	0	0
125	63	ACTIVITY	63	PARKING	0	0
126	63	PARKING	63	ACTIVITY	0	0
127	64	ACTIVITY	64	PARKING	0	0
128	64	PARKING	64	ACTIVITY	0	0
129	65	ACTIVITY	65	PARKING	0	0
130	65	PARKING	65	ACTIVITY	0	0
131	66	ACTIVITY	66	PARKING	0	0
132	66	PARKING	66	ACTIVITY	0	0
133	67	ACTIVITY	67	PARKING	0	0
134	67	PARKING	67	ACTIVITY	0	0
135	68	ACTIVITY	68	PARKING	0	0
