Link	Anode	Bnode	Lanes_AB	Lanes_BA	Length	Use	Type	Speed_AB	Speed_BA
1	1	2	2	2	1000	ANY	MAJOR	15	15
2	2	3	2	2	1000	ANY	MAJOR	15	15
3	3	4	2	2	1000	ANY	MAJOR	15	15
4	4	5	2	2	1000	ANY	MAJOR	15	15
5	5	6	2	2	1000	ANY	MAJOR	15	15
6	6	7	2	2	1000	ANY	MAJOR	15	15
7	7	8	2	2	1000	ANY	MAJOR	15	15
8	8	9	2	2	1000	ANY	MAJOR	15	15
9	9	10	2	2	1000	ANY	MAJOR	15	15
10	10	11	2	2	1000	ANY	MAJOR	15	15
11	1	12	2	2	1000	ANY	MAJOR	15	15
12	2	13	2	2	1000	ANY	MAJOR	15	15
13	3	14	4	4	1000	ANY	PRINCIPAL	22.5	22.5
14	4	15	2	2	1000	ANY	MAJOR	15	15
15	5	16	2	2	1000	ANY	MAJOR	15	15
16	6	17	4	4	1000	ANY	PRINCIPAL	22.5	22.5
17	7	18	2	2	1000	ANY	MAJOR	15	15
18	8	19	2	2	1000	ANY	MAJOR	15	15
19	9	20	4	4	1000	ANY	PRINCIPAL	22.5	22.5
20	10	21	2	2	1000	ANY	MAJOR	15	15
21	11	22	2	2	1000	ANY	MAJOR	15	15
22	12	13	2	2	1000	ANY	MAJOR	15	15
23	13	14	2	2	1000	ANY	MAJOR	15	15
24	14	15	2	2	1000	ANY	MAJOR	15	15
25	15	16	2	2	1000	ANY	MAJOR	15	15
26	16	17	2	2	1000	ANY	MAJOR	15	15
27	17	18	2	2	1000	ANY	MAJOR	15	15
28	18	19	2	2	1000	ANY	MAJOR	15	15
29	19	20	2	2	1000	ANY	MAJOR	15	15
30	20	21	2	2	1000	ANY	MAJOR	15	15
31	21	22	2	2	1000	ANY	MAJOR	15	15
32	12	23	2	2	1000	ANY	MAJOR	15	15
33	13	24	2	2	1000	ANY	MAJOR	15	15
34	14	25	4	4	1000	ANY	PRINCIPAL	22.5	22.5
35	15	26	2	2	1000	ANY	MAJOR	15	15
36	16	27	2	2	1000	ANY	MAJOR	15	15
37	17	28	4	4	1000	ANY	PRINCIPAL	22.5	22.5
38	18	29	2	2	1000	ANY	MAJOR	15	15
39	19	30	2	2	1000	ANY	MAJOR	15	15
40	20	31	4	4	1000	ANY	PRINCIPAL	22.5	22.5
41	21	32	2	2	1000	ANY	MAJOR	15	15
42	22	33	2	2	1000	ANY	MAJOR	15	15
43	23	24	4	4	1000	ANY	PRINCIPAL	22.5	22.5
44	24	25	4	4	1000	ANY	PRINCIPAL	22.5	22.5
