NODE	IN_LINK	OUT_LINK	IN_LOW	IN_HIGH	OUT_LOW	OUT_HIGH	TYPE	PENALTY	SPEED	CAPACITY
1	11	1	1	1	1	1	THRU	0	0	0
1	11	1	2	2	2	2	THRU	0	0	0
1	1	11	1	1	1	1	THRU	0	0	0
1	1	11	2	2	2	2	THRU	0	0	0
2	12	2	1	1	1	1	LEFT	0	0	0
2	12	2	2	2	2	2	LEFT	0	0	0
2	12	1	2	2	1	1	RIGHT	0	0	0
2	12	1	2	2	2	2	RIGHT	0	0	0
2	2	1	1	1	1	1	THRU	0	0	0
2	2	1	2	2	2	2	THRU	0	0	0
2	2	12	2	2	1	1	RIGHT	0	0	0
2	2	12	2	2	2	2	RIGHT	0	0	0
2	1	12	1	1	1	1	LEFT	0	0	0
2	1	12	1	1	2	2	LEFT	0	0	0
2	1	2	1	1	1	1	THRU	0	0	0
2	1	2	2	2	2	2	THRU	0	0	0
3	13	3	1	1	1	1	LEFT	0	0	0
3	13	3	2	2	2	2	LEFT	0	0	0
3	13	3	3	3	2	2	LEFT	0	0	0
3	13	2	3	3	1	1	RIGHT	0	0	0
3	13	2	4	4	2	2	RIGHT	0	0	0
3	3	2	1	1	1	1	THRU	0	0	0
3	3	2	2	2	2	2	THRU	0	0	0
3	3	13	2	2	3	3	RIGHT	0	0	0
3	3	13	2	2	4	4	RIGHT	0	0	0
3	2	13	1	1	1	1	LEFT	0	0	0
3	2	13	1	1	2	2	LEFT	0	0	0
3	2	3	1	1	1	1	THRU	0	0	0
3	2	3	2	2	2	2	THRU	0	0	0
4	14	4	1	1	1	1	LEFT	0	0	0
4	14	4	2	2	2	2	LEFT	0	0	0
4	14	3	2	2	1	1	RIGHT	0	0	0
4	14	3	2	2	2	2	RIGHT	0	0	0
4	4	3	1	1	1	1	THRU	0	0	0
4	4	3	2	2	2	2	THRU	0	0	0
4	4	14	2	2	1	1	RIGHT	0	0	0
4	4	14	2	2	2	2	RIGHT	0	0	0
4	3	14	1	1	1	1	LEFT	0	0	0
4	3	14	1	1	2	2	LEFT	0	0	0
4	3	4	1	1	1	1	THRU	0	0	0
4	3	4	2	2	2	2	THRU	0	0	0
5	15	5	1	1	1	1	LEFT	0	0	0
5	15	5	2	2	2	2	LEFT	0	0	0
5	15	4	2	2	1	1	RIGHT	0	0	0
5	15	4	2	2	2	2	RIGHT	0	0	0
5	5	4	1	1	1	1	THRU	0	0	0
5	5	4	2	2	2	2	THRU	0	0	0
5	5	15	2	2	1	1	RIGHT	0	0	0
5	5	15	2	2	2	2	RIGHT	0	0	0
5	4	15	1	1	1	1	LEFT	0	0	0
5	4	15	1	1	2	2	LEFT	0	0	0
5	4	5	1	1	1	1	THRU	0	0	0
5	4	5	2	2	2	2	THRU	0	0	0
6	16	6	1	1	1	1	LEFT	0	0	0
6	16	6	2	2	2	2	LEFT	0	0	0
6	16	6	3	3	2	2	LEFT	0	0	0
6	16	5	3	3	1	1	RIGHT	0	0	0
6	16	5	4	4	2	2	RIGHT	0	0	0
6	6	5	1	1	1	1	THRU	0	0	0
6	6	5	2	2	2	2	THRU	0	0	0
6	6	16	2	2	3	3	RIGHT	0	0	0
6	6	16	2	2	4	4	RIGHT	0	0	0
6	5	16	1	1	1	1	LEFT	0	0	0
6	5	16	1	1	2	2	LEFT	0	0	0
6	5	6	1	1	1	1	THRU	0	0	0
6	5	6	2	2	2	2	THRU	0	0	0
7	17	7	1	1	1	1	LEFT	0	0	0
7	17	7	2	2	2	2	LEFT	0	0	0
7	17	6	2	2	1	1	RIGHT	0	0	0
7	17	6	2	2	2	2	RIGHT	0	0	0
7	7	6	1	1	1	1	THRU	0	0	0
7	7	6	2	2	2	2	THRU	0	0	0
7	7	17	2	2	1	1	RIGHT	0	0	0
7	7	17	2	2	2	2	RIGHT	0	0	0
7	6	17	1	1	1	1	LEFT	0	0	0
7	6	17	1	1	2	2	LEFT	0	0	0
7	6	7	1	1	1	1	THRU	0	0	0
7	6	7	2	2	2	2	THRU	0	0	0
8	18	8	1	1	1	1	LEFT	0	0	0
8	18	8	2	2	2	2	LEFT	0	0	0
8	18	7	2	2	1	1	RIGHT	0	0	0
8	18	7	2	2	2	2	RIGHT	0	0	0
8	8	7	1	1	1	1	THRU	0	0	0
8	8	7	2	2	2	2	THRU	0	0	0
8	8	18	2	2	1	1	RIGHT	0	0	0
8	8	18	2	2	2	2	RIGHT	0	0	0
8	7	18	1	1	1	1	LEFT	0	0	0
8	7	18	1	1	2	2	LEFT	0	0	0
8	7	8	1	1	1	1	THRU	0	0	0
8	7	8	2	2	2	2	THRU	0	0	0
