PARKING	LINK	NODE	OFFSET	TYPE	USE	SPACE	START	END	HOURLY	DAILY
1	1	2	500.00	LOT	ANY	0	ALL	ALL	0	0
2	1	1	500.00	LOT	ANY	0	ALL	ALL	0	0
3	2	3	500.00	LOT	ANY	0	ALL	ALL	0	0
4	2	2	500.00	LOT	ANY	0	ALL	ALL	0	0
5	3	4	500.00	LOT	ANY	0	ALL	ALL	0	0
6	3	3	500.00	LOT	ANY	0	ALL	ALL	0	0
7	4	5	500.00	LOT	ANY	0	ALL	ALL	0	0
8	4	4	500.00	LOT	ANY	0	ALL	ALL	0	0
9	5	6	500.00	LOT	ANY	0	ALL	ALL	0	0
10	5	5	500.00	LOT	ANY	0	ALL	ALL	0	0
11	6	7	500.00	LOT	ANY	0	ALL	ALL	0	0
12	6	6	500.00	LOT	ANY	0	ALL	ALL	0	0
13	7	8	500.00	LOT	ANY	0	ALL	ALL	0	0
14	7	7	500.00	LOT	ANY	0	ALL	ALL	0	0
15	8	9	500.00	LOT	ANY	0	ALL	ALL	0	0
16	8	8	500.00	LOT	ANY	0	ALL	ALL	0	0
17	9	10	500.00	LOT	ANY	0	ALL	ALL	0	0
18	9	9	500.00	LOT	ANY	0	ALL	ALL	0	0
19	10	11	500.00	LOT	ANY	0	ALL	ALL	0	0
20	10	10	500.00	LOT	ANY	0	ALL	ALL	0	0
21	11	12	500.00	LOT	ANY	0	ALL	ALL	0	0
22	11	1	500.00	LOT	ANY	0	ALL	ALL	0	0
23	12	13	500.00	LOT	ANY	0	ALL	ALL	0	0
24	12	2	500.00	LOT	ANY	0	ALL	ALL	0	0
25	13	14	500.00	LOT	ANY	0	ALL	ALL	0	0
26	13	3	500.00	LOT	ANY	0	ALL	ALL	0	0
27	14	15	500.00	LOT	ANY	0	ALL	ALL	0	0
28	14	4	500.00	LOT	ANY	0	ALL	ALL	0	0
29	15	16	500.00	LOT	ANY	0	ALL	ALL	0	0
30	15	5	500.00	LOT	ANY	0	ALL	ALL	0	0
31	16	17	500.00	LOT	ANY	0	ALL	ALL	0	0
32	16	6	500.00	LOT	ANY	0	ALL	ALL	0	0
33	17	18	500.00	LOT	ANY	0	ALL	ALL	0	0
34	17	7	500.00	LOT	ANY	0	ALL	ALL	0	0
