NODE	PLAN	PHASE	INLINK	OUTLINK	PROTECTION	DETECTORS	NOTES
25	1	1	55	45	U	0	Unprotected Left
25	1	1	55	34	P	0	Protected Thru
25	1	1	55	44	P	0	Protected Right
25	1	2	55	44	S	0	Right on Red
25	1	2	45	34	U	0	Unprotected Left
25	1	2	45	44	P	0	Protected Thru
25	1	2	45	55	P	0	Protected Right
25	1	1	45	55	S	0	Right on Red
25	1	2	44	55	U	0	Unprotected Left
25	1	2	44	45	P	0	Protected Thru
25	1	2	44	34	P	0	Protected Right
25	1	1	44	34	S	0	Right on Red
25	1	1	34	44	U	0	Unprotected Left
25	1	1	34	55	P	0	Protected Thru
25	1	1	34	45	P	0	Protected Right
25	1	2	34	45	S	0	Right on Red
28	2	1	58	48	U	0	Unprotected Left
28	2	1	58	37	P	0	Protected Thru
28	2	1	58	47	P	0	Protected Right
28	2	2	58	47	S	0	Right on Red
28	2	2	48	37	U	0	Unprotected Left
28	2	2	48	47	P	0	Protected Thru
28	2	2	48	58	P	0	Protected Right
28	2	1	48	58	S	0	Right on Red
28	2	2	47	58	U	0	Unprotected Left
28	2	2	47	48	P	0	Protected Thru
28	2	2	47	37	P	0	Protected Right
28	2	1	47	37	S	0	Right on Red
28	2	1	37	47	U	0	Unprotected Left
28	2	1	37	58	P	0	Protected Thru
28	2	1	37	48	P	0	Protected Right
28	2	2	37	48	S	0	Right on Red
31	3	1	61	51	U	0	Unprotected Left
31	3	1	61	40	P	0	Protected Thru
31	3	1	61	50	P	0	Protected Right
31	3	2	61	50	S	0	Right on Red
31	3	2	51	40	U	0	Unprotected Left
31	3	2	51	50	P	0	Protected Thru
31	3	2	51	61	P	0	Protected Right
31	3	1	51	61	S	0	Right on Red
31	3	2	50	61	U	0	Unprotected Left
31	3	2	50	51	P	0	Protected Thru
31	3	2	50	40	P	0	Protected Right
31	3	1	50	40	S	0	Right on Red
31	3	1	40	50	U	0	Unprotected Left
31	3	1	40	61	P	0	Protected Thru
31	3	1	40	51	P	0	Protected Right
31	3	2	40	51	S	0	Right on Red
58	4	1	118	108	U	0	Unprotected Left
58	4	1	118	97	P	0	Protected Thru
58	4	1	118	107	P	0	Protected Right
58	4	2	118	107	S	0	Right on Red
58	4	2	108	97	U	0	Unprotected Left
58	4	2	108	107	P	0	Protected Thru
58	4	2	108	118	P	0	Protected Right
58	4	1	108	118	S	0	Right on Red
58	4	2	107	118	U	0	Unprotected Left
58	4	2	107	108	P	0	Protected Thru
58	4	2	107	97	P	0	Protected Right
58	4	1	107	97	S	0	Right on Red
58	4	1	97	107	U	0	Unprotected Left
58	4	1	97	118	P	0	Protected Thru
58	4	1	97	108	P	0	Protected Right
58	4	2	97	108	S	0	Right on Red
61	5	1	121	111	U	0	Unprotected Left
61	5	1	121	100	P	0	Protected Thru
61	5	1	121	110	P	0	Protected Right
61	5	2	121	110	S	0	Right on Red
61	5	2	111	100	U	0	Unprotected Left
61	5	2	111	110	P	0	Protected Thru
61	5	2	111	121	P	0	Protected Right
61	5	1	111	121	S	0	Right on Red
61	5	2	110	121	U	0	Unprotected Left
61	5	2	110	111	P	0	Protected Thru
61	5	2	110	100	P	0	Protected Right
61	5	1	110	100	S	0	Right on Red
61	5	1	100	110	U	0	Unprotected Left
61	5	1	100	121	P	0	Protected Thru
61	5	1	100	111	P	0	Protected Right
61	5	2	100	111	S	0	Right on Red
64	6	1	124	114	U	0	Unprotected Left
64	6	1	124	103	P	0	Protected Thru
64	6	1	124	113	P	0	Protected Right
64	6	2	124	113	S	0	Right on Red
64	6	2	114	103	U	0	Unprotected Left
64	6	2	114	113	P	0	Protected Thru
64	6	2	114	124	P	0	Protected Right
64	6	1	114	124	S	0	Right on Red
64	6	2	113	124	U	0	Unprotected Left
64	6	2	113	114	P	0	Protected Thru
64	6	2	113	103	P	0	Protected Right
64	6	1	113	103	S	0	Right on Red
64	6	1	103	113	U	0	Unprotected Left
64	6	1	103	124	P	0	Protected Thru
64	6	1	103	114	P	0	Protected Right
64	6	2	103	114	S	0	Right on Red
91	7	1	181	171	U	0	Unprotected Left
91	7	1	181	160	P	0	Protected Thru
91	7	1	181	170	P	0	Protected Right
91	7	2	181	170	S	0	Right on Red
91	7	2	171	160	U	0	Unprotected Left
91	7	2	171	170	P	0	Protected Thru
91	7	2	171	181	P	0	Protected Right
91	7	1	171	181	S	0	Right on Red
91	7	2	170	181	U	0	Unprotected Left
91	7	2	170	171	P	0	Protected Thru
91	7	2	170	160	P	0	Protected Right
91	7	1	170	160	S	0	Right on Red
91	7	1	160	170	U	0	Unprotected Left
91	7	1	160	181	P	0	Protected Thru
91	7	1	160	171	P	0	Protected Right
91	7	2	160	171	S	0	Right on Red
94	8	1	184	174	U	0	Unprotected Left
94	8	1	184	163	P	0	Protected Thru
94	8	1	184	173	P	0	Protected Right
94	8	2	184	173	S	0	Right on Red
94	8	2	174	163	U	0	Unprotected Left
94	8	2	174	173	P	0	Protected Thru
94	8	2	174	184	P	0	Protected Right
94	8	1	174	184	S	0	Right on Red
94	8	2	173	184	U	0	Unprotected Left
94	8	2	173	174	P	0	Protected Thru
94	8	2	173	163	P	0	Protected Right
94	8	1	173	163	S	0	Right on Red
94	8	1	163	173	U	0	Unprotected Left
94	8	1	163	184	P	0	Protected Thru
94	8	1	163	174	P	0	Protected Right
94	8	2	163	174	S	0	Right on Red
97	9	1	187	177	U	0	Unprotected Left
97	9	1	187	166	P	0	Protected Thru
97	9	1	187	176	P	0	Protected Right
97	9	2	187	176	S	0	Right on Red
97	9	2	177	166	U	0	Unprotected Left
97	9	2	177	176	P	0	Protected Thru
97	9	2	177	187	P	0	Protected Right
97	9	1	177	187	S	0	Right on Red
97	9	2	176	187	U	0	Unprotected Left
97	9	2	176	177	P	0	Protected Thru
97	9	2	176	166	P	0	Protected Right
97	9	1	176	166	S	0	Right on Red
97	9	1	166	176	U	0	Unprotected Left
97	9	1	166	187	P	0	Protected Thru
97	9	1	166	177	P	0	Protected Right
97	9	2	166	177	S	0	Right on Red
