HOUSEHOLD	PERSON	TRIP	LEG	MODE	EVENT	SCHEDULE	ACTUAL	LINK	OFFSET
12213	1	1	2	0	2	44	37	184	500
40398	1	1	2	0	2	67	50	6	500
36535	1	1	2	0	2	67	48	214	500
4852	1	1	2	0	2	67	46	-195	500
50175	1	1	2	0	2	100	85	185	500
14495	1	1	2	0	2	100	82	183	500
13197	1	1	2	0	2	67	48	-193	500
41880	1	1	2	0	2	122	90	14	500
10868	1	1	2	0	2	122	88	-28	500
43714	1	1	2	0	2	100	76	188	500
50062	1	1	2	0	2	134	98	198	500
26406	1	1	2	0	2	67	47	-211	500
14509	1	1	2	0	2	67	55	213	500
20558	1	1	2	0	2	67	51	-212	500
19921	1	1	2	0	2	144	116	184	500
8219	1	1	2	0	2	144	115	-37	500
37232	1	1	2	0	2	144	119	189	500
20516	1	1	2	0	2	134	100	-193	500
10183	1	1	2	0	2	144	110	-35	500
54206	1	1	2	0	2	122	87	159	500
52132	1	1	2	0	2	134	102	-39	500
6960	1	1	2	0	2	134	95	5	500
19628	1	1	2	0	2	156	126	182	500
32672	1	1	2	0	2	134	97	-4	500
8222	1	1	2	0	2	134	97	199	500
50568	1	1	2	0	2	134	95	199	500
13370	1	1	2	0	2	178	142	-37	500
8433	1	1	2	0	2	134	94	-3	500
29934	1	1	2	0	2	189	139	-177	500
33852	1	1	2	0	2	100	84	181	500
53890	1	1	2	0	2	167	133	111	500
12921	1	1	2	0	2	156	129	186	500
7839	1	1	2	0	2	200	148	-5	500
39637	1	1	2	0	2	44	35	-37	500
47534	1	1	2	0	2	144	127	183	500
15833	1	1	2	0	2	44	36	181	500
30209	1	1	2	0	2	200	146	-213	500
3069	1	1	2	0	2	144	118	183	500
37065	1	1	2	0	2	56	41	182	500
50128	1	1	2	0	2	56	47	-19	500
42227	1	1	2	0	2	200	147	-217	500
2337	1	1	2	0	2	200	149	-212	500
48768	1	1	2	0	2	200	145	-4	500
15187	1	1	2	0	2	200	146	-217	500
30049	1	1	2	0	2	133	121	-34	500
17546	1	1	2	0	2	134	97	-2	500
13764	1	1	2	0	2	200	144	-212	500
11906	1	1	2	0	2	189	140	-43	500
33071	1	1	2	0	2	200	147	215	500
43641	1	1	2	0	2	134	100	-2	500
31812	1	1	2	0	2	134	97	195	500
51381	1	1	2	0	2	100	102	-35	500
59077	1	1	2	0	2	134	97	-136	500
15598	1	1	2	0	2	178	148	-44	500
8617	1	1	2	0	2	178	134	-38	500
25551	1	1	2	0	2	100	79	182	500
762	1	1	2	0	2	133	107	181	500
52118	1	1	2	0	2	189	148	186	500
22249	1	1	2	0	2	200	146	214	500
26847	1	1	2	0	2	222	182	-47	500
35094	1	1	2	0	2	267	195	-18	500
54265	1	1	2	0	2	189	150	-13	500
