LINK	ANODE	BNODE	AB_000_015	AB_015_030	AB_030_045	AB_045_100	AB_100_115	AB_115_130	AB_130_145	AB_145_200	AB_200_215	AB_215_230	AB_230_245	AB_245_300	AB_300_315	AB_315_330	AB_330_345	AB_345_400	BA_000_015	BA_015_030	BA_030_045	BA_045_100	BA_100_115	BA_115_130	BA_130_145	BA_145_200	BA_200_215	BA_215_230	BA_230_245	BA_245_300	BA_300_315	BA_315_330	BA_330_345	BA_345_400
1	1	2	20.6	20.1	20.2	20.2	20.5	20.3	20.2	20.3	20.6	15.0	19.3	20.1	15.0	15.0	15.0	15.0	20.5	20.2	20.2	20.4	20.7	20.0	20.4	20.3	20.3	20.0	20.2	20.0	20.1	20.3	20.4	20.5
2	2	3	19.1	18.8	19.0	19.0	18.8	18.9	18.9	19.1	19.2	15.0	15.0	19.5	15.0	15.0	15.0	15.0	20.7	20.6	20.8	20.8	20.4	20.5	20.7	20.7	20.7	20.9	20.6	20.6	20.9	20.7	20.8	21.0
3	3	4	20.3	20.5	20.7	20.4	20.5	20.6	20.6	20.7	20.6	20.8	20.3	20.5	20.5	20.0	19.5	20.9	19.3	19.6	19.3	19.4	18.9	19.5	19.0	19.7	19.7	19.6	20.2	20.0	19.3	19.9	20.0	21.5
4	4	5	20.8	20.6	20.4	20.4	20.6	20.3	20.7	20.8	21.0	20.6	20.2	20.8	20.3	15.0	15.0	15.0	20.8	20.7	20.4	20.5	20.6	20.8	20.5	20.7	20.7	20.4	20.6	20.6	20.4	20.4	20.9	20.4
5	5	6	19.2	18.5	19.1	18.8	19.4	19.2	19.1	19.6	19.8	20.0	19.9	18.1	20.1	15.0	15.0	15.0	20.8	20.8	20.8	20.7	20.8	20.8	20.7	20.7	21.0	20.6	20.7	20.8	20.4	20.5	20.5	20.2
6	6	7	20.6	20.5	20.9	21.1	20.7	20.7	20.7	20.7	20.8	21.0	20.6	20.7	20.7	20.7	20.8	21.1	19.3	19.3	18.8	18.8	18.6	19.2	19.2	19.2	19.6	20.0	15.0	22.1	19.9	20.3	20.2	15.0
7	7	8	20.8	20.8	20.7	20.7	20.7	20.3	20.2	20.8	20.8	20.8	20.8	20.4	20.6	20.4	18.9	20.3	20.8	20.7	20.5	20.5	20.6	20.5	20.7	20.7	20.9	15.0	20.2	20.0	20.5	20.5	20.4	15.0
8	8	9	19.4	19.1	19.2	19.2	19.1	19.3	19.3	19.6	19.5	20.1	20.1	20.1	20.4	20.6	19.3	15.0	20.8	20.5	20.4	20.4	20.7	20.5	20.8	20.6	20.6	20.7	20.4	20.0	20.8	20.4	20.3	15.0
9	9	10	20.5	20.9	20.8	20.9	20.8	20.6	20.8	20.4	20.8	20.4	20.5	20.5	20.7	20.7	20.6	20.6	19.2	19.0	18.9	18.8	19.2	18.7	18.9	18.8	19.1	15.0	15.0	15.0	15.0	15.0	15.0	15.0
10	10	11	20.5	20.0	20.3	20.2	20.3	20.6	20.1	20.4	20.4	20.7	20.5	20.2	20.4	20.2	20.2	20.3	20.2	20.3	20.3	20.2	20.4	20.3	20.1	20.3	15.0	15.0	20.6	15.0	19.8	21.3	21.2	15.0
11	1	12	20.3	20.1	20.3	20.6	20.3	20.5	20.4	20.4	21.4	20.6	19.3	15.0	15.0	15.0	15.0	15.0	20.3	20.1	20.1	20.2	20.0	20.6	20.4	20.2	20.5	20.0	20.3	20.4	20.5	20.9	20.3	20.6
12	2	13	20.6	20.5	20.4	20.4	20.6	20.7	20.5	20.5	20.5	20.7	19.7	15.0	15.0	20.5	21.5	15.0	20.0	20.6	20.5	20.5	20.5	20.6	20.6	20.5	20.7	20.6	20.5	20.7	20.6	20.8	20.4	20.8
13	3	14	27.5	27.6	27.6	27.5	27.5	27.7	27.5	27.4	26.1	22.5	22.5	22.5	22.5	22.5	22.5	22.5	27.1	27.5	27.8	27.9	27.9	27.8	27.7	27.4	27.8	27.6	28.0	27.7	28.0	28.3	28.1	27.9
14	4	15	20.6	20.7	20.5	20.8	20.6	20.6	20.6	20.8	21.3	15.0	20.5	15.0	15.0	15.0	15.0	15.0	20.2	20.6	20.5	20.3	20.8	20.3	20.6	20.5	20.3	20.5	20.5	20.5	20.7	20.3	21.3	20.7
15	5	16	20.5	20.8	20.4	20.6	20.4	20.5	20.6	20.6	19.9	15.0	15.0	15.0	15.0	15.0	15.0	15.0	20.7	20.8	20.6	20.6	21.0	20.6	20.7	20.6	20.4	20.4	20.7	21.0	20.5	20.1	20.8	20.8
16	6	17	27.6	27.7	27.6	27.6	27.5	27.6	27.5	26.9	27.8	26.5	22.5	22.5	22.5	22.5	22.5	22.5	27.6	27.9	28.0	27.7	28.0	27.9	27.4	27.8	28.0	27.6	27.9	28.0	27.8	28.2	28.7	28.5
17	7	18	20.6	20.6	20.5	20.5	20.6	20.6	20.5	20.7	20.9	20.9	20.1	21.5	15.0	15.0	15.0	15.0	20.6	20.6	20.6	20.6	20.3	20.7	20.4	20.6	20.6	20.6	20.3	20.6	20.8	20.4	21.1	21.0
18	8	19	20.5	20.3	20.6	20.2	20.3	20.5	20.2	20.5	20.3	20.1	19.5	20.9	15.0	15.0	15.0	15.0	20.4	20.4	20.4	20.4	20.5	20.4	20.6	20.2	20.4	20.6	20.6	20.8	20.7	20.7	21.0	15.0
19	9	20	27.3	27.5	27.5	27.5	27.5	27.2	27.5	27.4	28.1	22.5	22.5	22.5	22.5	22.5	22.5	22.5	27.2	27.6	27.5	27.6	27.7	27.6	27.6	27.2	27.8	27.1	27.6	27.8	27.9	27.9	28.0	28.0
20	10	21	20.5	20.5	20.3	20.7	20.2	20.3	20.5	20.6	20.5	19.7	20.1	19.8	15.0	15.0	15.0	15.0	20.6	20.6	20.6	20.4	20.5	20.7	20.6	20.5	20.8	20.4	20.5	20.5	20.8	20.4	20.6	19.3
21	11	22	20.3	20.2	20.4	20.4	20.4	20.4	20.3	20.3	20.6	19.7	15.0	15.0	20.9	20.3	15.0	15.0	19.9	20.4	20.2	20.4	20.1	20.3	20.3	20.6	20.2	20.8	20.3	19.7	20.6	20.6	20.5	15.0
22	12	13	20.5	20.3	20.5	20.5	20.4	20.5	20.6	20.4	20.2	20.3	15.0	15.0	15.0	15.0	15.0	15.0	20.5	20.4	20.6	20.7	20.5	20.5	20.6	20.2	20.4	20.3	20.5	20.9	21.0	20.5	21.1	21.3
23	13	14	18.7	17.6	17.4	17.9	17.0	17.8	18.2	18.6	18.7	15.0	15.0	15.0	15.0	15.0	15.0	15.0	20.8	20.7	20.8	20.5	20.8	20.7	20.7	20.6	20.6	20.8	20.7	20.9	20.8	21.0	21.1	20.9
24	14	15	20.6	20.6	20.5	20.5	20.4	20.5	20.6	20.5	20.9	20.7	20.9	21.3	20.6	20.1	15.0	15.0	18.9	19.0	18.9	18.9	19.1	19.4	19.1	19.1	19.9	18.7	19.6	20.2	19.8	20.3	20.0	19.5
25	15	16	20.7	20.7	20.5	20.5	20.5	20.8	20.4	20.6	20.5	21.0	21.1	20.7	15.0	15.0	15.0	15.0	20.8	20.8	20.7	20.9	20.7	20.7	20.7	20.6	20.8	20.6	20.6	20.9	21.0	20.7	21.0	21.0
26	16	17	18.2	17.6	17.9	18.7	18.7	18.1	17.8	16.9	18.0	19.5	19.5	20.3	20.9	15.0	15.0	15.0	20.7	20.7	20.5	20.7	20.5	20.8	20.7	20.7	21.0	21.0	21.2	21.0	20.6	21.5	21.2	20.8
27	17	18	20.7	20.6	20.6	20.6	20.8	20.7	20.8	20.7	20.7	20.9	20.8	21.1	20.8	20.9	21.6	21.3	18.0	18.6	19.1	18.4	18.6	19.0	18.1	17.7	19.5	15.0	15.0	19.0	15.0	15.0	15.0	15.0
28	18	19	20.8	20.7	20.6	20.7	20.7	20.6	20.6	20.8	20.9	20.9	20.8	20.9	20.9	21.0	15.0	21.7	20.8	20.7	20.7	20.7	20.6	20.5	20.7	20.7	21.2	15.0	20.6	21.2	20.5	21.1	15.0	15.0
29	19	20	19.2	18.1	18.6	18.3	18.7	17.5	19.0	19.4	19.8	20.0	19.6	19.0	20.2	20.6	15.0	20.0	20.7	20.5	20.4	20.5	20.6	20.6	20.6	20.6	21.2	15.0	21.2	20.5	20.9	20.7	18.9	15.0
30	20	21	20.4	20.4	20.7	20.6	20.7	20.6	20.7	20.8	20.9	20.8	20.8	20.9	21.0	21.0	20.5	15.0	19.0	18.8	19.1	19.0	19.3	18.6	18.4	19.1	17.7	15.0	15.0	15.0	15.0	15.0	15.0	15.0
31	21	22	20.2	20.5	20.5	20.3	20.6	20.5	20.9	20.5	21.0	20.2	20.6	20.6	20.9	20.4	20.9	19.5	20.5	20.5	20.4	20.6	20.6	20.3	20.4	20.6	21.1	15.0	20.3	15.0	15.0	15.0	15.0	15.0
32	12	23	18.8	18.9	18.8	19.1	19.1	18.8	19.1	18.8	18.1	15.0	15.0	15.0	15.0	15.0	15.0	15.0	20.3	20.4	20.5	20.6	20.7	20.7	20.9	20.5	20.7	20.8	20.5	20.8	20.5	21.1	20.9	20.7
