LINK	ANODE	BNODE	AB_000_015	AB_015_030	AB_030_045	AB_045_100	AB_100_115	AB_115_130	AB_130_145	AB_145_200	AB_200_215	AB_215_230	AB_230_245	AB_245_300	AB_300_315	AB_315_330	AB_330_345	AB_345_400	BA_000_015	BA_015_030	BA_030_045	BA_045_100	BA_100_115	BA_115_130	BA_130_145	BA_145_200	BA_200_215	BA_215_230	BA_230_245	BA_245_300	BA_300_315	BA_315_330	BA_330_345	BA_345_400
1	1	2	27	35	28	37	34	41	37	30	1	0	1	1	0	0	0	0	21	36	42	36	24	23	18	26	13	43	44	19	17	11	8	10
2	2	3	51	62	54	49	67	60	53	66	3	0	0	1	0	0	0	0	36	50	45	42	38	36	31	29	14	57	69	27	21	18	10	11
3	3	4	35	26	36	42	46	41	42	72	14	48	44	11	3	3	1	1	64	62	50	42	54	40	29	34	10	9	23	4	12	5	5	1
4	4	5	45	37	40	44	48	57	44	78	16	28	22	5	2	0	0	0	58	44	44	49	35	35	26	58	16	20	30	24	26	8	9	12
5	5	6	81	55	54	49	56	63	69	80	19	13	15	1	1	0	0	0	58	38	48	37	39	35	29	78	17	27	17	37	44	16	17	18
6	6	7	51	37	28	21	40	33	27	82	33	27	44	40	30	26	6	9	70	59	57	57	43	54	44	80	10	1	0	1	5	5	1	0
7	7	8	51	45	37	28	33	42	31	63	33	24	29	28	21	19	3	7	57	40	33	41	41	53	36	62	8	0	7	7	12	8	1	0
8	8	9	45	65	51	36	41	36	37	48	32	17	18	17	11	10	1	0	39	27	26	35	42	65	36	45	8	2	9	22	23	20	5	0
9	9	10	25	44	35	43	39	73	37	35	43	17	37	45	34	49	16	3	53	52	40	59	51	41	55	46	4	0	0	0	0	0	0	0
10	10	11	21	32	27	35	32	49	31	19	26	12	14	26	24	30	16	1	30	43	30	40	37	27	38	34	0	0	1	0	1	2	1	0
11	1	12	42	42	30	39	37	31	50	33	2	1	1	0	0	0	0	0	20	36	34	35	25	39	25	22	9	44	20	21	8	8	4	8
12	2	13	41	55	42	68	46	39	53	32	4	2	2	0	0	1	1	0	19	39	48	39	35	35	24	43	17	70	51	20	16	9	10	16
13	3	14	99	120	109	105	122	114	91	96	8	0	0	0	0	0	0	0	37	72	93	69	78	84	44	68	34	164	122	54	30	22	15	19
14	4	15	51	49	52	51	64	52	48	52	2	0	1	0	0	0	0	0	28	50	45	30	36	36	20	14	9	53	66	15	15	6	6	7
15	5	16	39	49	49	54	39	62	46	63	5	0	0	0	0	0	0	0	32	40	45	32	19	20	24	27	18	42	79	13	29	6	4	11
16	6	17	99	120	127	119	123	129	127	134	11	1	0	0	0	0	0	0	44	66	78	51	81	68	78	124	37	73	90	89	93	40	22	29
17	7	18	44	58	43	46	43	39	48	46	4	1	1	1	0	0	0	0	32	43	36	44	39	38	34	40	20	28	45	19	20	13	2	5
18	8	19	47	49	46	49	49	42	61	57	1	1	1	1	0	0	0	0	20	51	66	39	39	45	42	42	14	28	33	15	25	17	2	0
19	9	20	80	130	103	99	101	89	114	81	5	0	0	0	0	0	0	0	47	75	75	89	103	166	67	41	39	20	74	75	62	86	22	4
20	10	21	40	53	50	48	54	46	51	54	8	1	1	1	0	0	0	0	36	43	48	56	57	58	33	18	25	11	24	23	22	33	12	1
21	11	22	36	38	36	41	26	31	32	33	4	1	0	0	1	1	0	0	30	49	50	38	51	48	38	21	7	5	25	10	9	13	9	0
22	12	13	47	45	42	58	43	52	55	51	2	2	0	0	0	0	0	0	24	72	43	39	44	30	28	52	17	58	23	18	10	8	5	4
23	13	14	72	90	73	93	68	81	87	62	6	0	0	0	0	0	0	0	46	85	77	59	67	47	43	74	35	86	46	24	19	16	9	12
24	14	15	59	57	54	60	65	62	49	62	20	39	14	5	8	1	0	0	57	87	78	72	46	54	55	73	15	13	20	10	12	3	4	5
25	15	16	74	81	68	66	65	73	63	80	13	31	11	3	0	0	0	0	71	94	70	56	34	49	54	87	27	26	40	12	15	3	5	7
26	16	17	83	101	89	80	57	87	78	99	13	11	24	2	1	0	0	0	78	94	78	63	66	51	80	108	24	14	11	12	31	2	3	8
27	17	18	75	91	69	61	65	66	79	118	33	31	57	21	29	12	1	2	84	97	83	81	77	82	108	83	14	0	0	1	0	0	0	0
28	18	19	78	89	81	50	55	59	68	105	20	22	33	14	21	9	0	1	79	77	74	66	66	69	82	80	9	0	1	1	4	2	0	0
29	19	20	86	88	62	40	52	70	50	94	17	19	29	19	8	2	0	1	57	66	68	62	66	67	60	46	8	0	5	4	8	5	1	0
30	20	21	60	123	79	85	73	68	39	56	18	14	44	20	12	35	11	0	71	79	69	81	64	84	88	86	6	0	0	0	0	0	0	0
31	21	22	38	63	59	52	59	41	30	37	3	6	35	10	5	13	5	1	42	47	55	56	47	37	54	54	4	0	1	0	0	0	0	0
32	12	23	50	67	45	53	63	63	65	60	1	0	0	0	0	0	0	0	55	79	64	52	42	60	31	50	26	41	34	18	9	6	4	8
33	13	24	64	88	73	94	76	81	84	78	4	0	0	0	0	0	0	0	52	106	74	58	62	55	45	65	46	92	50	17	23	9	7	14
34	14	25	164	253	233	255	250	243	234	171	24	0	1	0	0	0	0	0	94	211	197	156	195	172	115	133	87	294	185	77	57	38	22	34
35	15	26	77	77	101	86	100	72	75	50	40	50	1	0	0	0	0	0	69	111	96	68	51	55	37	29	23	105	64	17	23	8	8	9
36	16	27	68	96	88	55	71	65	54	35	51	87	70	0	0	0	0	1	78	113	100	38	26	29	35	43	47	66	163	19	32	7	7	13
37	17	28	181	270	257	267	251	280	290	220	54	0	0	0	0	0	0	0	133	215	184	143	190	162	190	230	82	114	161	122	159	51	24	39
38	18	29	67	89	109	106	80	82	98	89	8	0	0	0	0	0	0	0	82	104	93	73	76	65	57	56	34	32	65	20	30	11	2	4
39	19	30	64	80	91	93	96	81	103	93	2	0	0	0	0	0	0	0	80	110	91	82	69	64	55	50	30	34	70	18	23	12	2	0
40	20	31	173	237	237	217	213	230	250	204	21	0	0	0	0	0	0	0	125	258	224	236	221	261	100	63	56	23	143	92	75	132	35	4
41	21	32	66	76	89	85	89	76	95	79	5	0	0	1	0	0	0	0	105	98	89	117	84	66	40	35	22	8	70	32	19	33	10	2
42	22	33	57	61	65	68	52	67	47	47	3	0	0	0	0	0	0	0	80	94	78	77	44	40	28	19	23	7	57	27	8	18	7	0
43	23	24	118	136	108	87	86	115	109	113	6	0	0	0	0	0	0	0	116	135	87	68	57	89	58	117	60	96	55	30	12	24	8	9
44	24	25	237	246	201	207	204	248	233	220	38	0	0	0	0	0	0	0	203	237	161	132	132	173	119	265	125	214	117	47	41	42	21	16
45	25	26	363	344	312	292	325	335	267	224	218	432	42	7	1	1	1	1	323	408	391	255	270	263	213	434	144	273	149	49	64	50	45	21
46	26	27	438	418	388	268	274	260	152	136	348	703	343	13	0	0	0	0	391	461	416	289	299	303	245	511	129	287	199	56	86	69	60	28
47	27	28	443	405	289	163	191	192	166	131	441	753	813	95	2	4	0	0	452	485	416	326	303	358	371	600	165	179	150	74	103	78	70	35
48	28	29	418	368	222	235	261	292	312	273	343	550	728	93	100	63	7	5	424	539	567	455	401	443	497	510	95	7	19	32	24	56	20	0
49	29	30	379	370	245	238	235	275	305	264	286	475	621	97	83	58	7	2	416	510	489	413	378	409	439	429	64	7	22	32	31	55	20	0
50	30	31	318	336	242	227	227	246	264	254	233	259	576	147	61	48	8	1	363	435	412	361	324	350	344	334	47	7	24	29	43	57	19	1
51	31	32	226	215	183	186	121	121	112	110	105	69	346	106	52	126	49	6	207	247	261	232	211	218	204	253	22	0	0	0	0	0	0	0
52	32	33	114	113	95	83	54	55	52	51	47	36	159	64	27	63	28	3	107	118	121	121	100	116	84	122	8	0	0	0	0	0	0	0
53	23	34	34	35	43	36	36	50	34	58	22	22	12	9	2	14	4	2	74	81	60	43	30	36	31	45	14	7	12	12	7	14	3	6
54	24	35	33	43	52	61	66	66	60	102	17	17	12	4	2	7	5	0	81	105	74	56	47	51	41	75	24	24	20	17	11	16	1	8
55	25	36	224	380	452	457	452	426	329	301	73	68	33	3	4	8	6	1	259	366	338	281	295	302	233	289	218	404	239	91	60	47	21	32
56	26	37	37	67	88	81	92	76	58	67	16	36	16	1	1	8	7	1	95	126	103	57	47	40	46	64	40	52	38	29	22	16	11	5
57	27	38	46	65	100	58	59	100	63	51	46	62	45	5	4	6	5	0	73	142	109	36	47	34	40	58	36	44	52	24	37	25	12	11
58	28	39	267	410	504	484	433	405	458	363	250	243	201	107	0	6	0	0	362	439	410	275	366	318	370	403	216	234	167	247	362	147	84	85
59	29	40	53	61	96	100	101	98	73	50	31	44	28	4	5	4	0	0	89	121	120	55	51	48	41	79	27	25	19	26	37	36	1	4
60	30	41	48	70	59	85	74	77	68	38	27	61	37	5	12	5	0	1	100	129	124	70	43	40	38	65	29	13	12	24	37	43	5	0
61	31	42	232	376	418	415	338	233	247	233	77	55	169	186	206	2	0	0	308	497	486	474	342	328	125	51	9	12	86	119	139	322	103	13
62	32	43	41	52	53	50	68	66	52	48	30	28	58	14	5	10	4	0	91	103	96	58	40	36	31	55	10	1	2	9	28	54	15	4
63	33	44	30	31	40	39	34	39	42	33	19	28	45	19	7	12	14	2	56	75	53	36	34	27	32	59	4	0	2	7	10	54	16	4
64	34	35	57	42	58	46	34	48	47	44	4	0	2	1	1	0	0	0	43	38	24	13	11	32	40	60	18	34	38	30	19	24	6	7
65	35	36	95	97	84	100	82	89	98	80	10	0	0	0	0	0	0	0	61	71	49	33	36	58	84	104	34	52	66	38	27	37	15	12
66	36	37	77	100	62	63	74	81	108	101	12	21	31	19	3	1	0	1	43	58	70	63	56	71	100	103	30	34	14	25	30	26	13	3
67	37	38	76	95	90	67	70	82	116	86	14	10	17	20	0	0	0	0	53	69	66	40	47	58	105	102	33	40	24	14	53	37	24	4
68	38	39	95	104	118	59	67	56	94	120	178	27	19	16	3	1	0	0	57	89	68	32	52	28	142	128	43	36	34	42	77	37	27	16
69	39	40	73	87	64	31	46	39	44	79	103	103	44	65	63	44	5	11	93	106	103	94	98	89	109	161	86	5	23	8	13	18	3	0
70	40	41	57	78	62	41	34	47	52	65	79	94	39	41	54	45	6	2	81	81	83	102	64	69	79	82	16	4	27	19	28	34	4	0
71	41	42	51	85	65	61	51	41	48	48	36	53	46	70	49	91	3	0	77	77	90	74	54	37	45	54	7	6	45	37	50	49	8	5
72	42	43	58	44	27	34	24	11	16	34	9	12	23	48	189	209	62	17	82	82	92	94	69	50	51	58	17	17	48	26	33	8	0	0
73	43	44	21	33	11	18	12	15	20	26	20	25	17	22	80	122	36	11	55	39	52	49	41	40	48	44	3	1	1	0	0	1	0	0
74	34	45	51	45	37	49	62	64	53	45	6	5	4	1	1	0	0	0	53	61	49	22	21	25	36	39	27	25	35	22	15	14	11	10
75	35	46	42	48	63	91	108	92	77	64	13	4	4	1	0	1	0	1	64	98	60	39	23	21	57	62	30	53	66	27	24	17	12	12
76	36	47	261	435	542	589	560	492	373	293	99	56	30	3	1	0	1	0	331	495	427	297	259	233	243	335	258	362	366	128	86	68	33	45
77	37	48	61	81	106	107	127	128	85	74	7	16	10	0	2	1	1	0	82	89	90	36	35	39	66	79	40	36	43	91	43	18	14	20
78	38	49	63	62	103	99	103	120	97	50	32	30	18	1	2	1	0	0	68	88	83	51	37	23	43	60	31	47	36	30	67	43	22	17
79	39	50	337	487	625	470	319	437	516	636	633	194	180	110	0	0	0	0	414	542	523	334	402	278	312	197	159	318	223	367	500	219	117	123
80	40	51	62	82	108	123	118	109	53	74	38	26	10	8	4	1	1	0	82	98	74	46	21	39	42	77	35	53	50	44	74	51	4	6
81	41	52	79	70	87	109	99	87	71	59	31	29	14	15	4	2	0	0	75	89	86	59	25	30	38	74	45	18	22	37	89	65	2	1
82	42	53	271	448	511	378	249	144	207	217	72	110	168	267	428	261	0	0	337	486	524	472	369	339	115	30	6	5	126	163	216	546	172	39
83	43	54	47	60	60	87	84	80	60	59	14	6	12	15	33	10	3	0	66	78	70	41	24	39	45	67	14	3	11	26	52	126	31	10
84	44	55	36	28	56	61	60	67	33	34	16	16	9	8	4	10	1	0	43	44	51	26	14	40	35	54	6	3	10	28	37	84	13	3
85	45	46	63	52	49	59	68	50	44	39	1	2	1	1	0	0	1	1	23	10	15	11	24	56	36	24	58	29	31	26	14	5	22	20
86	46	47	91	94	95	101	98	92	103	89	2	0	0	0	0	0	0	0	29	32	29	24	49	91	54	45	83	60	62	35	32	19	27	24
87	47	48	75	62	70	79	89	84	72	60	15	38	42	13	0	3	1	2	49	63	94	71	51	92	89	91	67	34	18	40	36	25	20	10
88	48	49	75	68	89	99	101	99	89	67	13	24	26	30	1	0	0	0	27	49	79	36	39	75	75	115	87	47	27	27	42	32	34	19
89	49	50	92	86	119	87	74	95	82	73	62	172	23	27	19	8	0	1	36	58	67	44	29	58	101	119	98	63	45	41	36	18	50	21
90	50	51	56	53	45	46	32	48	65	80	140	92	55	65	71	55	4	4	88	115	100	91	71	87	70	86	94	98	28	22	16	16	15	1
91	51	52	50	57	45	37	37	62	52	94	100	59	35	48	72	33	1	2	79	68	67	88	65	85	91	68	13	7	26	36	17	27	14	0
92	52	53	58	62	51	59	38	48	33	60	53	19	27	65	79	90	82	3	49	63	59	70	46	63	67	39	7	10	42	52	59	54	13	0
93	53	54	26	24	16	15	14	15	18	27	14	16	23	54	106	326	58	10	78	92	83	76	64	49	43	45	10	18	14	24	51	87	43	0
94	54	55	9	16	7	8	12	27	21	27	14	7	18	31	64	137	18	2	43	35	59	53	48	64	44	45	2	0	0	0	1	1	0	0
95	45	56	57	55	49	76	80	76	57	46	2	0	1	0	0	0	1	0	37	44	35	17	35	38	26	70	50	46	46	25	23	23	19	16
96	46	57	70	74	79	114	159	90	73	69	12	1	0	0	0	0	1	0	47	76	49	36	41	31	45	81	56	57	77	33	26	19	24	23
97	47	58	296	478	587	695	628	521	443	346	103	58	28	5	0	1	0	0	320	440	357	271	257	251	210	344	316	466	469	142	111	71	52	74
98	48	59	84	106	138	126	168	136	71	64	36	20	7	7	0	0	1	0	81	76	87	42	54	67	58	57	84	43	52	136	62	25	18	19
99	49	60	79	93	126	139	116	97	68	49	60	45	36	9	29	5	0	0	48	71	87	55	60	41	35	81	58	61	41	45	105	87	18	23
100	50	61	378	530	525	392	223	466	525	746	802	527	241	118	5	3	4	0	379	474	462	399	408	232	324	224	194	234	289	447	589	292	158	145
101	51	62	93	88	109	97	81	81	80	80	61	34	53	14	78	24	1	0	61	96	66	30	24	57	79	98	63	53	63	45	116	45	3	9
102	52	63	85	96	107	119	82	77	80	83	95	15	10	15	13	54	3	0	77	64	68	69	29	74	83	120	71	16	15	22	120	113	2	5
103	53	64	300	407	424	231	154	155	234	214	77	190	132	265	608	651	125	0	311	418	493	454	392	415	313	86	4	7	156	172	247	590	79	47
104	54	65	80	65	82	106	91	92	68	75	13	3	5	7	11	14	0	0	51	61	43	43	48	82	107	71	23	3	26	25	72	83	6	6
105	55	66	41	49	64	81	74	69	57	55	5	1	6	6	8	5	0	0	29	31	50	25	49	58	94	50	10	5	15	27	46	77	2	2
106	56	57	105	117	121	144	146	134	114	123	3	0	0	0	0	0	0	0	36	59	59	75	120	70	102	137	80	82	74	35	49	39	38	16
107	57	58	219	251	245	308	329	277	237	235	22	0	0	0	0	0	0	0	65	131	116	160	210	146	210	260	168	166	165	77	92	70	69	38
108	58	59	322	416	423	522	496	411	313	281	246	277	259	228	0	0	1	0	255	341	312	270	325	377	418	477	365	256	204	190	271	153	199	62
109	59	60	391	469	535	654	574	405	223	231	262	326	266	351	218	39	0	0	295	360	322	254	310	370	503	557	410	320	225	249	357	191	241	75
110	60	61	424	448	504	645	544	317	141	283	300	323	328	360	427	394	12	0	300	359	278	246	280	420	603	621	435	365	234	258	377	170	281	87
111	61	62	354	394	382	520	501	371	226	377	360	389	422	368	494	305	6	13	376	467	386	199	217	398	655	624	412	327	280	246	312	286	372	18
112	62	63	348	395	371	498	445	393	243	367	362	216	260	234	652	420	4	12	361	481	496	360	245	371	512	708	356	221	204	121	256	284	106	0
113	63	64	278	330	358	357	313	411	383	254	237	58	169	190	587	619	39	13	324	362	411	457	413	408	418	526	109	65	95	102	266	236	99	0
114	64	65	97	123	171	123	237	321	283	97	50	43	88	95	241	282	11	8	227	228	266	300	311	291	236	211	21	1	5	5	6	0	0	0
115	65	66	39	52	85	70	140	157	150	60	23	19	37	51	99	130	12	2	112	115	122	124	141	135	111	103	8	0	0	0	0	0	0	0
116	56	67	34	43	54	66	73	52	79	49	23	14	10	6	18	6	11	0	45	49	69	77	84	74	59	58	16	4	5	7	1	0	0	2
117	57	68	43	79	77	106	81	92	86	67	21	17	11	8	7	4	6	0	60	85	69	97	110	80	77	65	20	20	9	5	1	2	1	7
118	58	69	322	448	494	514	476	598	500	421	219	100	126	49	48	35	81	1	298	389	305	256	191	157	220	290	440	675	572	175	8	19	2	62
119	59	70	59	106	122	82	92	119	83	78	50	40	28	18	16	17	23	0	86	87	115	125	143	135	85	61	37	24	26	53	5	5	1	9
120	60	71	77	112	111	93	66	107	66	56	57	48	29	22	22	12	25	1	83	85	106	125	126	77	65	48	39	38	47	25	47	61	4	17
121	61	72	383	511	373	360	272	389	378	592	641	490	212	276	100	92	119	240	337	422	467	466	542	233	176	140	144	218	340	571	578	20	63	245
122	62	73	95	106	104	61	47	65	78	83	19	44	56	65	48	38	10	0	87	107	97	93	87	81	80	73	65	35	49	39	59	3	1	10
123	63	74	96	106	87	97	52	59	62	77	81	10	17	16	63	56	6	0	73	87	107	139	103	110	102	85	113	8	7	9	5	3	2	6
124	64	75	303	379	351	244	240	264	323	250	129	138	153	233	570	674	64	0	285	402	455	575	663	655	515	318	24	11	100	72	33	4	3	43
125	65	76	66	92	93	64	85	98	63	40	15	9	16	17	50	59	1	0	59	83	83	127	151	105	82	81	11	1	2	2	0	1	0	0
126	66	77	39	48	75	62	75	59	60	29	8	7	10	11	29	36	7	0	51	55	75	84	77	64	55	55	3	0	1	1	0	1	0	0
127	67	68	36	57	42	51	63	56	45	49	3	0	0	0	1	0	0	0	11	30	72	90	49	62	34	19	28	18	24	8	2	1	1	3
128	68	69	73	89	93	101	73	37	57	56	20	86	62	0	0	0	0	0	34	56	109	95	48	91	50	33	55	48	65	16	5	6	8	8
129	69	70	69	85	125	93	67	63	76	68	38	50	41	0	1	0	1	0	40	89	92	80	80	84	66	52	41	53	23	19	12	7	17	13
130	70	71	84	97	151	108	90	66	80	73	28	26	21	1	0	0	0	0	43	88	98	117	91	110	55	47	19	19	13	30	18	8	16	21
131	71	72	92	107	128	76	78	80	49	52	37	46	28	62	39	1	9	44	41	112	118	120	102	114	50	44	10	25	23	38	42	12	23	40
132	72	73	57	86	129	159	106	74	28	31	27	46	28	69	8	0	5	26	96	115	117	81	61	73	51	41	15	40	32	38	14	11	13	57
133	73	74	69	84	130	145	86	74	62	41	12	30	16	45	11	4	2	12	64	99	101	128	84	87	78	84	18	8	3	4	10	14	5	0
134	74	75	80	95	96	143	86	88	57	39	20	22	11	25	21	14	0	3	61	81	82	115	87	70	75	72	8	4	4	7	21	31	3	0
135	75	76	33	81	131	162	124	54	36	19	8	13	12	19	34	54	4	3	82	87	93	101	98	101	95	90	11	0	0	0	0	1	0	0
136	76	77	26	56	88	101	56	31	15	5	4	2	7	5	16	25	1	0	49	52	48	44	62	55	48	47	4	0	0	0	0	0	0	0
137	67	78	44	63	74	50	53	50	49	36	14	7	7	3	3	0	6	0	30	37	80	74	86	51	34	31	6	3	3	2	2	0	0	1
138	68	79	69	98	87	42	59	75	43	65	19	18	25	7	2	6	7	1	47	57	84	127	125	59	62	40	10	16	5	4	0	1	1	5
139	69	80	322	442	380	406	428	489	458	399	212	179	177	46	44	37	86	5	280	344	353	394	361	160	232	231	396	552	230	27	8	21	2	66
140	70	81	85	126	84	60	64	86	77	67	41	28	22	14	12	10	19	3	55	70	111	98	139	100	77	68	11	10	6	3	1	2	1	6
141	71	82	99	130	94	50	44	68	69	73	40	36	21	21	24	14	21	10	64	59	102	132	123	89	85	61	10	8	6	15	2	1	3	8
142	72	83	415	481	302	254	189	330	356	547	585	284	150	278	57	10	22	549	281	384	515	643	654	423	199	117	91	207	253	379	181	22	65	219
143	73	84	78	120	80	52	28	51	58	76	16	52	45	54	33	26	6	15	70	76	140	122	103	93	72	67	17	11	16	8	2	3	2	18
144	74	85	102	119	68	49	18	53	81	70	55	13	12	28	50	53	5	7	54	68	129	136	115	100	82	53	11	4	5	4	1	3	0	6
145	75	86	334	385	277	195	176	264	336	287	133	118	133	229	493	602	69	2	251	340	476	596	616	546	463	355	40	6	31	20	5	5	2	45
146	76	87	79	99	82	46	34	45	65	39	10	8	11	15	40	72	4	1	39	63	105	114	96	78	57	55	7	1	2	2	0	0	0	1
147	77	88	58	75	94	37	27	43	38	34	6	2	4	12	21	44	6	0	36	50	81	82	67	55	45	39	2	0	1	1	0	1	0	0
148	78	79	54	55	51	52	54	53	48	40	1	0	0	0	0	0	0	0	32	85	137	51	39	22	14	11	13	22	10	5	3	5	3	2
149	79	80	94	98	83	100	89	63	64	46	39	59	0	0	0	0	0	0	46	164	196	79	53	18	23	10	20	102	23	16	8	9	11	5
150	80	81	87	126	93	68	60	65	47	67	29	34	6	0	1	1	1	0	49	114	136	58	51	47	49	30	39	39	11	17	13	7	14	14
151	81	82	78	144	97	75	89	84	86	71	17	19	3	2	0	0	0	0	58	142	165	53	48	56	49	43	14	18	18	24	16	7	15	22
152	82	83	81	151	138	109	125	100	78	61	19	29	20	20	5	1	1	12	85	155	163	51	42	47	37	28	7	22	29	74	19	11	11	39
