LINK	ANODE	BNODE	AB_000_015	AB_015_030	AB_030_045	AB_045_100	AB_100_115	AB_115_130	AB_130_145	AB_145_200	AB_200_215	AB_215_230	AB_230_245	AB_245_300	AB_300_315	AB_315_330	AB_330_345	AB_345_400	BA_000_015	BA_015_030	BA_030_045	BA_045_100	BA_100_115	BA_115_130	BA_130_145	BA_145_200	BA_200_215	BA_215_230	BA_230_245	BA_245_300	BA_300_315	BA_315_330	BA_330_345	BA_345_400
1	1	2	0.73	0.74	0.74	0.74	0.73	0.74	0.74	0.74	0.73	1.00	0.78	0.75	1.00	1.00	1.00	1.00	0.73	0.74	0.74	0.74	0.72	0.75	0.73	0.74	0.74	0.75	0.74	0.75	0.75	0.74	0.74	0.73
2	2	3	0.79	0.80	0.79	0.79	0.80	0.79	0.79	0.79	0.78	1.00	1.00	0.77	1.00	1.00	1.00	1.00	0.72	0.73	0.72	0.72	0.74	0.73	0.72	0.72	0.72	0.72	0.73	0.73	0.72	0.73	0.72	0.71
3	3	4	0.74	0.73	0.72	0.73	0.73	0.73	0.73	0.72	0.73	0.72	0.74	0.73	0.73	0.75	0.77	0.72	0.78	0.77	0.78	0.77	0.79	0.77	0.79	0.76	0.76	0.76	0.74	0.75	0.78	0.75	0.75	0.70
4	4	5	0.72	0.73	0.73	0.73	0.73	0.74	0.72	0.72	0.71	0.73	0.74	0.72	0.74	1.00	1.00	1.00	0.72	0.72	0.73	0.73	0.73	0.72	0.73	0.72	0.72	0.74	0.73	0.73	0.74	0.74	0.72	0.73
5	5	6	0.78	0.81	0.79	0.80	0.77	0.78	0.79	0.77	0.76	0.75	0.75	0.83	0.75	1.00	1.00	1.00	0.72	0.72	0.72	0.72	0.72	0.72	0.73	0.72	0.71	0.73	0.73	0.72	0.74	0.73	0.73	0.74
6	6	7	0.73	0.73	0.72	0.71	0.72	0.72	0.72	0.72	0.72	0.71	0.73	0.72	0.72	0.72	0.72	0.71	0.78	0.77	0.80	0.80	0.81	0.78	0.78	0.78	0.76	0.75	1.00	0.68	0.75	0.74	0.74	1.00
7	7	8	0.72	0.72	0.72	0.73	0.72	0.74	0.74	0.72	0.72	0.72	0.72	0.73	0.73	0.73	0.79	0.74	0.72	0.72	0.73	0.73	0.73	0.73	0.72	0.72	0.72	1.00	0.74	0.75	0.73	0.73	0.73	1.00
8	8	9	0.77	0.78	0.78	0.78	0.79	0.77	0.78	0.76	0.77	0.74	0.75	0.75	0.74	0.73	0.78	1.00	0.72	0.73	0.73	0.74	0.73	0.73	0.72	0.73	0.73	0.72	0.73	0.75	0.72	0.74	0.74	1.00
9	9	10	0.73	0.72	0.72	0.72	0.72	0.73	0.72	0.73	0.72	0.73	0.73	0.73	0.73	0.72	0.73	0.73	0.78	0.79	0.79	0.80	0.78	0.80	0.79	0.80	0.79	1.00	1.00	1.00	1.00	1.00	1.00	1.00
10	10	11	0.73	0.75	0.74	0.74	0.74	0.73	0.75	0.74	0.73	0.72	0.73	0.74	0.74	0.74	0.74	0.74	0.74	0.74	0.74	0.74	0.74	0.74	0.74	0.74	1.00	1.00	0.73	1.00	0.76	0.70	0.71	1.00
11	1	12	0.74	0.74	0.74	0.73	0.74	0.73	0.74	0.74	0.70	0.73	0.78	1.00	1.00	1.00	1.00	1.00	0.74	0.74	0.74	0.74	0.75	0.73	0.73	0.74	0.73	0.75	0.74	0.74	0.73	0.72	0.74	0.73
12	2	13	0.73	0.73	0.74	0.74	0.73	0.72	0.73	0.73	0.73	0.72	0.76	1.00	1.00	0.73	0.70	1.00	0.75	0.73	0.73	0.73	0.73	0.73	0.73	0.73	0.72	0.73	0.73	0.72	0.73	0.72	0.74	0.72
