LINK	ANODE	BNODE	AB_000_015	AB_015_030	AB_030_045	AB_045_100	AB_100_115	AB_115_130	AB_130_145	AB_145_200	AB_200_215	AB_215_230	AB_230_245	AB_245_300	AB_300_315	AB_315_330	AB_330_345	AB_345_400	BA_000_015	BA_015_030	BA_030_045	BA_045_100	BA_100_115	BA_115_130	BA_130_145	BA_145_200	BA_200_215	BA_215_230	BA_230_245	BA_245_300	BA_300_315	BA_315_330	BA_330_345	BA_345_400
1	1	2	48.5	49.7	49.6	49.4	48.8	49.3	49.5	49.2	48.4	66.7	51.8	49.8	66.7	66.7	66.7	66.7	48.7	49.6	49.4	49.1	48.3	49.9	49.0	49.3	49.2	49.9	49.5	50.1	49.8	49.2	49.1	48.7
2	2	3	52.5	53.3	52.6	52.6	53.2	52.8	53.0	52.4	52.2	66.7	66.7	51.2	66.7	66.7	66.7	66.7	48.3	48.5	48.1	48.2	49.1	48.7	48.2	48.2	48.2	48.0	48.6	48.5	47.8	48.4	48.0	47.6
3	3	4	49.2	48.8	48.2	49.0	48.8	48.5	48.6	48.3	48.6	48.2	49.2	48.8	48.7	49.9	51.2	47.8	51.8	51.2	51.7	51.5	52.9	51.3	52.6	50.8	50.7	50.9	49.4	50.1	51.8	50.3	50.0	46.6
4	4	5	48.1	48.5	49.0	49.0	48.5	49.2	48.3	48.0	47.6	48.6	49.5	48.0	49.2	66.7	66.7	66.7	48.1	48.3	48.9	48.7	48.6	48.1	48.9	48.3	48.2	49.1	48.6	48.7	49.0	49.1	47.9	49.0
5	5	6	52.1	54.2	52.4	53.1	51.7	52.1	52.4	51.0	50.6	50.1	50.2	55.2	49.8	66.7	66.7	66.7	48.2	48.1	48.1	48.2	48.0	48.1	48.4	48.2	47.6	48.5	48.4	48.0	49.1	48.9	48.7	49.4
6	6	7	48.6	48.9	47.8	47.5	48.3	48.3	48.3	48.2	48.0	47.7	48.5	48.3	48.2	48.2	48.2	47.4	51.8	51.7	53.1	53.1	53.7	52.2	52.1	52.1	50.9	50.0	66.7	45.2	50.2	49.1	49.4	66.7
7	7	8	48.0	48.2	48.3	48.4	48.3	49.1	49.6	48.1	48.1	48.1	48.0	48.9	48.5	49.0	53.0	49.2	48.0	48.3	48.8	48.8	48.5	48.7	48.4	48.2	47.8	66.7	49.6	50.1	48.9	48.7	49.0	66.7
8	8	9	51.5	52.3	52.0	51.9	52.4	51.7	51.8	50.9	51.2	49.6	49.8	49.8	49.1	48.4	51.8	66.7	48.1	48.7	48.9	49.0	48.4	48.9	48.2	48.5	48.6	48.2	48.9	50.1	48.1	49.1	49.3	66.7
9	9	10	48.7	48.0	48.1	47.9	48.0	48.5	48.0	49.0	48.1	49.0	48.7	48.8	48.4	48.2	48.6	48.6	52.2	52.6	53.0	53.3	52.0	53.4	52.9	53.1	52.4	66.7	66.7	66.7	66.7	66.7	66.7	66.7
10	10	11	48.8	50.0	49.3	49.4	49.2	48.7	49.9	49.1	49.0	48.3	48.8	49.5	49.0	49.6	49.4	49.2	49.4	49.3	49.4	49.5	49.1	49.3	49.7	49.3	66.7	66.7	48.6	66.7	50.6	47.0	47.2	66.7
11	1	12	49.2	49.7	49.3	48.4	49.1	48.9	49.1	49.1	46.8	48.6	51.8	66.7	66.7	66.7	66.7	66.7	49.3	49.7	49.7	49.5	50.1	48.5	49.0	49.5	48.8	50.0	49.3	49.0	48.7	47.9	49.3	48.5
12	2	13	48.5	48.8	49.0	49.1	48.5	48.3	48.7	48.8	48.7	48.3	50.7	66.7	66.7	48.8	46.6	66.7	50.0	48.6	48.7	48.7	48.8	48.6	48.5	48.8	48.4	48.6	48.8	48.3	48.6	48.2	49.0	48.0
13	3	14	36.4	36.2	36.2	36.4	36.3	36.1	36.4	36.4	38.3	44.4	44.4	44.4	44.4	44.4	44.4	44.4	36.9	36.4	36.0	35.9	35.9	35.9	36.1	36.5	35.9	36.2	35.7	36.0	35.7	35.3	35.6	35.8
14	4	15	48.6	48.3	48.7	48.1	48.5	48.5	48.5	48.2	47.0	66.7	48.8	66.7	66.7	66.7	66.7	66.7	49.5	48.5	48.8	49.3	48.0	49.2	48.6	48.8	49.2	48.8	48.8	48.7	48.4	49.2	46.9	48.3
15	5	16	48.7	48.1	49.1	48.6	49.1	48.7	48.6	48.6	50.3	66.7	66.7	66.7	66.7	66.7	66.7	66.7	48.3	48.1	48.5	48.5	47.7	48.5	48.4	48.6	48.9	49.0	48.3	47.7	48.7	49.6	48.1	48.1
