HHOLD	PERSON	TRIP	LEG	MODE	PROBLEM	START	ORIGIN	ARRIVE	DESTINATION	TIME	LINK	DIR	LANE	OFFSET	ROUTE
8227	1	1	2	0	9	0:04:11	238	0:12:42	83	1:11:39	58	1	1	885.0	0
52483	1	1	2	0	9	0:05:26	176	0:09:53	75	1:11:40	58	1	1	870.0	0
24700	1	1	2	0	9	0:06:28	211	0:15:32	82	1:11:40	58	1	1	900.0	0
45491	1	1	2	0	9	0:03:27	250	0:11:25	94	1:11:50	111	1	1	892.5	0
6986	1	1	2	0	9	0:07:36	222	0:10:34	74	1:12:29	111	1	1	907.5	0
41852	1	1	2	0	9	0:04:22	239	0:12:31	82	1:13:19	58	1	1	907.5	0
9274	1	1	2	0	9	0:08:36	70	0:16:23	307	1:14:11	47	0	1	847.5	0
13620	1	1	2	0	9	0:05:54	5	0:20:21	436	1:14:12	47	0	1	825.0	0
27552	1	1	2	0	9	0:08:52	70	0:17:46	307	1:14:12	47	0	1	832.5	0
4860	1	1	2	0	9	0:08:14	27	0:22:41	439	1:14:14	47	0	1	810.0	0
12503	1	1	2	0	9	0:06:33	290	0:12:28	93	1:14:17	111	1	1	825.0	0
23401	1	1	2	0	9	0:07:27	248	0:15:35	85	1:14:18	111	1	1	810.0	0
45001	1	1	2	0	9	0:07:53	398	0:18:15	134	1:14:18	174	1	1	862.5	0
17229	1	1	2	0	9	0:08:56	433	0:17:49	133	1:14:18	174	1	1	840.0	0
23283	1	1	2	0	9	0:09:34	391	0:17:21	114	1:14:18	174	1	1	847.5	0
32924	1	1	2	0	9	0:09:49	307	0:19:16	87	1:14:18	111	1	1	795.0	0
52206	1	1	2	0	9	0:12:11	348	0:17:22	94	1:14:18	174	1	1	825.0	0
50764	1	1	2	0	9	0:09:04	114	0:16:06	324	1:14:21	47	0	1	855.0	0
36129	1	1	2	0	9	0:09:28	353	0:18:21	109	1:14:24	174	1	1	870.0	0
5147	1	1	2	0	9	0:08:31	30	0:22:13	440	1:14:34	47	0	1	817.5	0
38835	1	1	2	0	9	0:05:46	332	0:16:19	106	1:14:37	111	1	1	832.5	0
10061	1	1	2	0	9	0:09:46	319	0:17:10	98	1:14:41	118	1	1	862.5	0
55561	1	1	2	0	9	0:07:38	358	0:14:18	176	1:14:43	118	1	1	840.0	0
36949	1	1	2	0	9	0:13:09	179	0:18:42	60	1:15	58	1	1	772.5	0
19650	1	1	2	0	9	0:03:50	415	0:11:25	138	1:15:04	111	1	1	855.0	0
24964	1	1	2	0	9	0:12:30	222	0:19:21	66	1:15:12	111	1	1	870.0	0
59233	1	1	2	0	9	0:10:54	207	0:17:45	31	1:15:17	111	1	1	840.0	0
57713	1	1	2	0	9	0:08:29	318	0:14:02	197	1:15:31	118	1	1	870.0	0
45318	1	1	2	0	9	0:15:25	110	0:22:39	36	1:15:38	55	1	1	795.0	0
30204	1	1	2	0	9	0:09:18	189	0:16:09	74	1:15:43	55	1	1	862.5	0
48521	1	1	2	0	9	0:10:29	149	0:18:38	58	1:15:43	55	1	1	870.0	0
10793	1	1	2	0	9	0:09:47	255	0:19:47	83	1:15:47	55	1	1	832.5	0
3045	1	1	2	0	9	0:09:50	275	0:14:50	90	1:15:48	55	1	1	817.5	0
42062	1	1	2	0	9	0:07:21	26	0:21:14	440	1:16:15	47	0	1	870.0	0
21230	1	1	2	0	9	0:09:35	191	0:15:42	73	1:16:22	55	1	1	877.5	0
49226	1	1	2	0	9	0:08:54	298	0:15:45	96	1:16:27	55	1	1	840.0	0
7888	1	1	2	0	9	0:13:20	80	0:22:24	297	1:16:42	103	0	1	855.0	0
51238	1	1	2	0	9	0:14:37	185	0:23:52	317	1:16:42	103	0	1	877.5	0
53952	1	1	2	0	9	0:13:22	146	0:21:53	302	1:16:47	103	0	1	825.0	0
24904	1	1	2	0	9	0:15:14	205	0:21:54	320	1:16:50	103	0	1	885.0	0
52813	1	1	2	0	9	0:13:52	141	0:17:12	246	1:17:06	103	0	1	832.5	0
45196	1	1	2	0	9	0:14:29	53	0:23:44	295	1:19:36	100	0	1	862.5	0
41457	1	1	2	0	9	0:15:16	184	0:22:51	320	1:19:37	100	0	1	847.5	0
33976	1	1	2	0	9	0:14:01	78	0:22:32	300	1:19:56	100	0	1	870.0	0
54186	1	1	2	0	9	0:16:13	125	0:28:04	385	1:20:49	103	0	1	840.0	0
3248	1	1	2	0	9	0:08:36	213	0:15:16	332	1:21:05	113	0	1	825.0	0
22982	1	1	2	0	9	0:04:55	25	0:15:17	289	1:21:07	113	0	1	810.0	0
39564	1	1	2	0	9	0:15:08	52	0:26:14	440	1:21:07	113	0	1	795.0	0
6037	1	1	2	0	9	0:08:24	174	0:15:37	332	1:21:26	113	0	1	817.5	0
44633	1	1	2	0	9	0:06:23	11	0:18:14	437	1:21:45	113	0	1	832.5	0
41219	1	1	2	0	9	0:19:14	119	0:26:38	305	1:21:46	103	0	1	780.0	0
11300	1	1	2	0	9	0:19:41	165	0:28:34	300	1:22:16	103	0	1	787.5	0
59339	1	1	2	0	9	0:18:21	76	0:29:28	419	1:23:16	113	0	1	765.0	0
13988	1	1	2	0	9	0:20:13	278	0:26:08	73	1:25:50	118	1	2	885.0	0
6582	1	1	2	0	9	0:08:24	337	0:15:59	114	1:25:52	118	1	2	855.0	0
53374	1	1	2	0	9	0:17:46	123	0:28:53	427	1:31:07	103	0	1	795.0	0
13357	1	1	2	0	9	0:29:58	255	0:36:49	289	1:35:51	118	1	1	705.0	0
13772	1	1	2	0	9	0:24:56	370	0:29:45	298	1:36:54	171	1	1	825.0	0
25901	1	1	2	0	9	0:24:42	310	0:31:22	297	1:36:55	171	1	1	810.0	0
14091	1	1	2	0	9	0:31:42	236	0:37:26	288	1:39:07	118	1	1	682.5	0
6275	1	1	2	0	9	0:25:40	370	0:30:29	297	1:39:24	171	1	1	840.0	0
45175	1	1	2	0	9	0:35:50	372	0:42:41	74	1:39:57	174	1	1	645.0	0
973	1	1	2	0	9	0:20:07	387	0:23:38	320	1:41:46	171	1	1	892.5	0
44675	1	1	2	0	9	0:25:24	411	0:30:24	320	1:42	171	1	1	855.0	0
20576	1	1	2	0	9	0:34:40	405	0:38:22	298	1:43:06	171	1	1	900.0	0
37313	1	1	2	0	9	0:09:09	374	0:17:29	114	1:55:03	174	1	1	885.0	0
15626	1	1	2	0	9	0:09:34	372	0:19:34	108	1:55:03	174	1	1	892.5	0
7996	1	1	2	0	9	0:10:48	347	0:15:59	95	1:55:12	174	1	1	900.0	0
17382	1	1	2	0	9	0:18:07	339	0:25:31	94	1:58:11	118	1	1	877.5	0
26119	1	1	2	0	9	0:10:55	235	0:19:04	331	1:58:20	118	1	1	892.5	0
50482	1	1	2	0	9	0:05:41	1	0:15:41	266	2:02:52	47	0	1	885.0	0
30081	1	1	2	0	9	0:08:06	69	0:15:30	308	2:03:12	47	0	1	892.5	0
45998	1	1	2	0	9	0:27:22	304	0:37	62	2:03:29	121	1	1	817.5	0
53748	1	1	2	0	9	0:29:51	242	0:33:33	230	2:03:29	121	1	1	825.0	0
15011	1	1	2	0	9	0:53:55	326	1:01:19	38	2:03:36	121	1	1	885.0	0
1031	1	1	2	0	9	0:49:24	176	0:59:46	439	2:03:38	110	0	1	862.5	0
54191	1	1	2	0	9	0:31:29	410	0:40:11	145	2:03:39	121	1	1	832.5	0
46404	1	1	2	0	9	0:23:26	261	0:31:13	58	2:03:39	121	1	1	840.0	0
31414	1	1	2	0	9	0:53:17	280	0:58:39	223	2:05:29	121	1	1	892.5	0
10339	1	1	2	0	9	0:56:30	405	1:09:50	61	2:05:39	121	1	1	765.0	0
16298	1	1	2	0	9	0:14:46	337	0:25:52	103	2:05:48	121	1	1	900.0	0
20250	1	1	2	0	9	0:57:05	388	1:03:56	230	2:05:51	121	1	1	862.5	0
22714	1	1	2	0	9	0:54:05	193	0:57:03	241	2:06:09	110	0	1	870.0	0
1677	1	1	2	0	9	1:02:12	219	1:09:03	438	2:06:18	110	0	1	877.5	0
45062	1	1	2	0	9	0:53:22	421	1:05:46	79	2:06:20	121	1	1	772.5	0
40753	1	1	2	0	9	0:59:13	284	1:09:02	20	2:06:39	121	1	1	780.0	0
36843	1	1	2	0	9	0:49:25	169	0:54:25	242	2:06:58	110	0	1	885.0	0
5125	1	1	2	0	9	0:23:06	290	0:28:50	302	2:07:10	174	1	1	720.0	0
46617	1	1	2	0	9	0:23:58	369	0:33:02	86	2:07:10	174	1	1	705.0	0
35550	1	1	2	0	9	0:26:58	373	0:37:42	89	2:07:12	174	1	1	690.0	0
46659	1	1	2	0	9	0:29:42	348	0:36:55	72	2:08	174	1	1	727.5	0
41288	1	1	2	0	9	0:37:06	352	0:47:28	67	2:10:50	174	1	2	787.5	0
40279	1	1	2	0	9	0:44:09	391	0:53:02	69	2:11:50	174	1	2	757.5	0
39251	1	1	2	0	9	0:51:41	253	0:56:41	242	2:14:12	110	0	1	892.5	0
36342	1	1	2	0	9	0:26:51	111	0:35:44	292	2:14:15	47	0	1	825.0	0
32095	1	1	2	0	9	0:43:34	327	0:49:07	238	2:14:21	174	1	1	847.5	0
1660	1	1	2	0	9	0:10:24	333	0:22:59	106	2:14:22	174	1	1	825.0	0
47905	1	1	2	0	9	0:18:28	370	0:24:34	93	2:14:23	174	1	1	787.5	0
40252	1	1	2	0	9	0:14:14	417	0:25:20	130	2:14:24	174	1	1	810.0	0
13054	1	1	2	0	9	0:18:14	395	0:28:14	111	2:14:24	174	1	1	772.5	0
37396	1	1	2	0	9	0:20:01	331	0:31:30	86	2:14:24	174	1	1	757.5	0
47694	1	1	2	0	9	0:18:38	67	0:25:51	285	2:14:25	47	0	1	832.5	0
53010	1	1	2	0	9	0:40	372	0:47:35	31	2:14:25	174	1	1	802.5	0
19942	1	1	2	0	9	0:27:05	371	0:36:53	85	2:14:26	174	1	1	742.5	0
5176	1	1	2	0	9	0:26:01	371	0:35:49	86	2:14:31	174	1	1	855.0	0
9740	1	1	2	0	9	0:09:03	397	0:20:32	132	2:14:32	174	1	1	832.5	0
14452	1	1	2	0	9	0:28:59	44	0:38:59	246	2:14:34	47	0	1	847.5	0
37087	1	1	2	0	9	0:43:12	436	0:55:36	90	2:14:38	174	1	1	862.5	0
6198	1	1	2	0	9	0:10:25	371	0:20:25	107	2:14:41	174	1	1	840.0	0
3139	1	1	2	0	9	0:11	256	0:20:15	82	2:14:48	118	1	1	825.0	0
41617	1	1	2	0	9	0:16:19	297	0:27:03	83	2:14:48	118	1	1	832.5	0
4931	1	1	2	0	9	0:10:05	296	0:19:31	99	2:14:50	118	1	1	810.0	0
59333	1	1	2	0	9	0:19:37	296	0:24:48	239	2:14:51	118	1	1	787.5	0
16482	1	1	2	0	9	0:20:27	236	0:28:02	311	2:14:51	118	1	1	795.0	0
40542	1	1	2	0	9	0:23:43	255	0:34:50	62	2:14:53	118	1	1	772.5	0
29393	1	1	2	0	9	0:25:51	380	0:38:37	102	2:14:53	118	1	1	742.5	0
22455	1	1	2	0	9	0:27	256	0:37	58	2:14:53	118	1	1	757.5	0
47445	1	1	2	0	9	0:18:52	253	0:27:45	312	2:15:15	118	1	1	847.5	0
27871	1	1	2	0	9	0:14:23	295	0:20:52	92	2:15:42	55	1	1	780.0	0
46608	1	1	2	0	9	0:16:12	233	0:21:45	71	2:15:44	55	1	1	765.0	0
24988	1	1	2	0	9	0:11:42	273	0:18:11	92	2:15:51	55	1	1	810.0	0
21280	1	1	2	0	9	0:12:17	169	0:21:10	60	2:15:51	55	1	1	817.5	0
1449	1	1	2	0	9	0:26:33	109	0:31:11	11	2:15:51	55	1	1	825.0	0
50783	1	1	2	0	9	0:42:04	359	0:49:06	70	2:15:52	55	1	1	795.0	0
7865	1	1	2	0	9	0:24:08	339	0:35:25	84	2:16:06	55	1	1	870.0	0
44614	1	1	2	0	9	0:46:24	193	0:52:30	12	2:16:25	55	1	1	877.5	0
39459	1	1	2	0	9	0:10:27	170	0:21:11	62	2:16:30	55	1	1	832.5	0
58882	1	1	2	0	9	0:58:18	367	1:04:25	139	2:16:35	121	1	2	877.5	0
35272	1	1	2	0	9	0:32:31	273	0:43:37	59	2:16:52	55	1	1	885.0	0
12305	1	1	2	0	9	0:41:12	387	0:48:14	71	2:19:42	47	1	1	870.0	0
37374	1	1	2	0	9	0:38:55	305	0:46:42	48	2:20:02	47	1	1	877.5	0
6617	1	1	2	0	9	0:27:05	206	0:35:03	298	2:22:21	103	0	1	735.0	0
59205	1	1	2	0	9	1:06:23	376	1:16:23	41	2:22:32	103	1	1	900.0	0
50746	1	1	2	0	9	1:11:41	343	1:19:39	188	2:22:33	103	1	1	885.0	0
25214	1	1	2	0	9	1:13:03	343	1:19:54	186	2:22:37	103	1	1	840.0	0
41972	1	1	2	0	9	1:14:07	350	1:18:45	186	2:22:37	103	1	1	847.5	0
41035	1	1	2	0	9	1:11:44	346	1:17:50	186	2:22:40	103	1	1	907.5	0
9090	1	1	2	0	9	1:13:55	349	1:18:33	186	2:22:56	103	1	1	855.0	0
26837	1	1	2	0	9	0:52:50	317	0:58:57	242	2:23:56	110	0	1	900.0	0
2463	1	1	2	0	9	0:54:14	175	1:02:01	434	2:24:06	110	0	1	907.5	0
18435	1	1	2	0	9	0:57:42	302	1:04:22	208	2:24:40	121	1	1	847.5	0
4644	1	1	2	0	9	0:54:27	343	0:58:53	223	2:25:27	121	1	2	915.0	0
35688	1	1	2	0	9	1:15:47	436	1:26:53	49	2:25:58	47	1	1	825.0	0
10858	1	1	2	0	9	1:19:42	310	1:30:49	5	2:26:03	47	1	1	810.0	0
12231	1	1	2	0	9	1:07:28	397	1:19:41	49	2:26:06	47	1	1	832.5	0
32417	1	1	2	0	9	1:17:36	311	1:27:36	8	2:26:20	47	1	1	817.5	0
45551	1	1	2	0	9	1:26:38	304	1:31:27	434	2:32:52	174	0	1	855.0	0
41644	1	1	2	0	9	0:58:57	116	1:05:26	412	2:32:53	174	0	1	840.0	0
1475	1	1	2	0	9	0:59:26	117	1:07:35	411	2:32:53	174	0	1	847.5	0
32727	1	1	2	0	9	0:29:53	23	0:42:28	414	2:33:12	174	0	1	877.5	0
4989	1	1	2	0	9	1:01:06	215	1:10:33	438	2:33:34	174	0	1	862.5	0
56934	1	1	2	0	9	1:26:15	193	1:33:51	369	2:38:33	174	0	3	990.0	0
54462	1	1	2	0	9	1:26:14	326	1:33:05	186	2:38:45	103	1	3	990.0	0
1193	1	1	2	0	9	1:12:01	257	1:21:39	438	2:38:54	174	0	2	907.5	0
40321	1	1	2	0	9	1:31:10	317	1:38:12	434	2:38:55	174	0	2	900.0	0
33486	1	1	2	0	9	0:44:53	70	0:55:37	413	2:38:56	174	0	2	892.5	0
43891	1	1	2	0	9	1:34:10	314	1:38:48	163	2:39:41	103	1	4	727.5	0
1712	1	1	2	0	9	1:37:39	205	1:43:46	133	2:39:43	103	1	4	712.5	0
29118	1	1	2	0	9	1:20:25	387	1:27:27	186	2:51:51	103	1	1	915.0	0
9627	1	1	2	0	9	0:20:52	396	0:33:05	108	2:55:07	174	1	1	885.0	0
47124	1	1	2	0	9	0:50:13	355	0:56:42	260	2:55:08	174	1	1	870.0	0
52529	1	1	2	0	9	0:36:25	349	0:41:36	215	2:55:46	174	1	1	892.5	0
45898	1	1	2	0	9	0:44:29	217	0:46:53	263	3:03:44	110	0	1	825.0	0
18817	1	1	2	0	9	1:03:40	220	1:10:31	436	3:03:47	110	0	1	787.5	0
25277	1	1	2	0	9	0:55:21	194	1:04:25	438	3:03:48	110	0	1	772.5	0
57817	1	1	2	0	9	0:55:53	212	1:00:19	283	3:03:48	110	0	1	757.5	0
7021	1	1	2	0	9	1:04:36	309	1:16:27	22	3:04:09	111	1	1	847.5	0
20359	1	1	2	0	9	1:11:39	252	1:18:19	198	3:04:09	111	1	1	825.0	0
4571	1	1	2	0	9	1:14:27	286	1:23:20	4	3:04:11	111	1	1	795.0	0
59937	1	1	2	0	9	1:15:51	313	1:24:55	31	3:04:11	111	1	1	802.5	0
32629	1	1	2	0	9	1:16:35	289	1:21:13	177	3:04:11	111	1	1	810.0	0
3446	1	1	2	0	9	0:41:35	112	0:50:28	429	3:04:17	110	0	1	795.0	0
15756	1	1	2	0	9	1:09:12	229	1:12:54	199	3:04:57	111	1	1	885.0	0
56166	1	1	2	0	9	1:14:22	266	1:22:31	8	3:04:58	111	1	1	855.0	0
42964	1	1	2	0	9	1:17:34	270	1:22:23	178	3:05	111	1	1	862.5	0
52509	1	1	2	0	9	1:03:49	440	1:16:47	70	3:05:09	111	1	1	870.0	0
36710	1	1	2	0	9	1:16:09	312	1:24:40	10	3:05:46	111	1	1	892.5	0
35453	1	1	2	0	9	0:38:43	110	0:47:03	431	3:06:43	110	0	1	832.5	0
134	1	1	2	0	9	1:07:13	267	1:17:58	6	3:07:39	111	1	1	832.5	0
59620	1	1	2	0	9	1:19:50	290	1:24:28	180	3:11:12	111	1	1	900.0	0
44229	1	1	2	0	9	1:35:28	161	1:45:28	379	3:11:46	102	0	1	885.0	0
44691	1	1	2	0	9	1:23:39	203	1:32:43	403	3:12:05	102	0	1	907.5	0
32536	1	1	2	0	9	1:48:59	183	1:56:57	362	3:13:30	102	0	1	915.0	0
52611	1	1	2	0	15	0:10:17	369	0:14:10	221	3:14:11	174	1	1	885.0	0
115	1	1	2	0	9	0:48:07	396	0:57:22	71	3:14:26	174	1	1	817.5	0
23109	1	1	2	0	9	0:20:13	411	0:30:35	107	3:14:27	174	1	1	772.5	0
16013	1	1	2	0	9	0:52:57	412	1:03:19	66	3:14:29	174	1	1	757.5	0
53841	1	1	2	0	9	0:11:55	353	0:22:06	129	3:14:45	174	1	1	825.0	0
15396	1	1	2	0	9	0:42:02	327	0:45:11	242	3:14:55	174	1	1	832.5	0
42700	1	1	2	0	15	0:08:17	338	0:15:41	115	3:15:42	110	0	3	637.5	0
59374	1	1	2	0	15	0:10:21	256	0:15:43	225	3:15:44	113	0	2	67.5	0
19272	1	1	2	0	9	0:58:26	128	1:08:26	412	3:16:34	174	0	1	900.0	0
41323	1	1	2	0	9	0:42:46	65	0:53:53	412	3:16:44	174	0	1	907.5	0
8365	1	1	2	0	9	0:51:53	109	1:03:44	416	3:16:44	174	0	1	915.0	0
1024	1	1	2	0	15	0:05:28	420	0:17:30	151	3:17:31	120	1	2	840.0	0
31904	1	1	2	0	15	0:06:25	65	0:18:38	294	3:18:39	113	0	3	352.5	0
31766	1	1	2	0	15	0:11:11	83	0:19:53	284	3:19:54	121	0	2	967.5	0
59115	1	1	2	0	15	0:10:50	41	0:19:54	284	3:19:55	121	0	3	742.5	0
28961	1	1	2	0	15	0:15:13	72	0:21:53	301	3:21:54	142	0	3	495.0	0
35565	1	1	2	0	15	0:15:38	206	0:22:18	319	3:22:19	111	1	3	690.0	0
45647	1	1	2	0	15	0:12:22	62	0:23:29	279	3:23:30	121	0	2	802.5	0
17171	1	1	2	0	15	0:14:07	37	0:24:07	277	3:24:08	121	0	1	585.0	0
47323	1	1	2	0	15	0:18:25	369	0:24:31	93	3:24:32	174	1	1	810.0	0
26914	1	1	2	0	15	0:19:25	151	0:25:54	307	3:25:55	121	0	4	472.5	0
24811	1	1	2	0	15	0:15:57	164	0:26:08	316	3:26:09	111	1	2	315.0	0
26355	1	1	2	0	15	0:18:39	40	0:26:48	263	3:26:49	121	0	4	930.0	0
38070	1	1	2	0	15	0:19:16	126	0:26:51	284	3:26:52	111	1	3	622.5	0
33762	1	1	2	0	15	0:19:14	16	0:27	261	3:27:01	111	1	3	375.0	0
41802	1	1	2	0	15	0:14:06	275	0:27:26	83	3:27:27	52	0	3	510.0	0
58019	1	1	2	0	15	0:23:28	332	0:28:06	262	3:28:07	174	1	1	757.5	0
55713	1	1	2	0	15	0:19:53	335	0:28:24	136	3:28:25	174	1	1	780.0	0
29586	1	1	2	0	15	0:16:33	436	0:30:15	127	3:30:16	174	1	1	802.5	0
18943	1	1	2	0	15	0:22:33	70	0:30:20	286	3:30:21	121	0	1	480.0	0
19841	1	1	2	0	15	0:21:36	45	0:31:36	431	3:31:37	163	0	1	187.5	0
21654	1	1	2	0	15	0:26:58	313	0:32:54	304	3:32:55	174	1	2	757.5	0
17632	1	1	2	0	9	1:25:57	299	1:32:59	434	3:32:56	174	0	1	840.0	0
43614	1	1	2	0	9	0:30:17	85	0:41:34	433	3:32:57	174	0	1	825.0	0
17843	1	1	2	0	9	1:23:39	105	1:33:39	369	3:32:58	174	0	1	810.0	0
50032	1	1	2	0	9	1:34:36	339	1:42:56	437	3:32:59	174	0	1	795.0	0
45676	1	1	2	0	9	0:31:19	88	0:41:52	433	3:33:01	174	0	1	780.0	0
20896	1	1	2	0	9	1:11:35	35	1:20:28	369	3:33:03	174	0	1	750.0	0
19643	1	1	2	0	9	1:41:19	171	1:48:21	369	3:33:03	174	0	1	757.5	0
602	1	1	2	0	9	1:44:44	281	1:49:33	391	3:33:03	174	0	1	765.0	0
6164	1	1	2	0	15	0:24:11	49	0:33:04	429	3:33:05	163	0	2	645.0	0
43623	1	1	2	0	9	1:32:12	212	1:40:10	391	3:33:30	174	0	1	787.5	0
28199	1	1	2	0	14	0:33:29	347	0:40:53	67	3:33:30	174	1	0	0.0	0
30711	1	1	2	0	9	1:30:05	110	1:37:40	370	3:33:36	174	0	1	847.5	0
26233	1	1	2	0	14	0:33:55	348	0:41:19	67	3:33:56	174	1	0	0.0	0
1199	1	1	2	0	14	0:34:23	347	0:42:43	66	3:34:24	174	1	0	0.0	0
19266	1	1	2	0	14	0:34:49	348	0:44:16	65	3:34:50	174	1	0	0.0	0
50737	1	1	2	0	14	0:35:02	348	0:43:22	65	3:35:03	174	1	0	0.0	0
44417	1	1	2	0	15	0:21:50	39	0:35:10	426	3:35:11	121	0	2	637.5	0
1168	1	1	2	0	15	0:31:48	94	0:35:30	284	3:35:31	142	0	1	247.5	0
51305	1	1	2	0	15	0:23:19	64	0:35:32	434	3:35:33	174	0	1	570.0	0
29022	1	1	2	0	14	0:35:34	348	0:37:58	261	3:35:35	174	1	0	0.0	0
59346	1	1	2	0	14	0:35:42	222	0:40:53	89	3:35:43	111	1	0	0.0	0
8300	1	1	2	0	15	0:32:01	94	0:35:43	284	3:35:44	142	0	1	307.5	0
13540	1	1	2	0	15	0:27:49	394	0:35:47	94	3:35:48	174	1	2	892.5	0
59529	1	1	2	0	15	0:34:19	220	0:35:59	262	3:36	121	0	1	540.0	0
17606	1	1	2	0	14	0:36:01	347	0:39:54	259	3:36:02	174	1	0	0.0	0
12985	1	1	2	0	14	0:36:26	347	0:41:26	258	3:36:27	174	1	0	0.0	0
20378	1	1	2	0	15	0:25:49	94	0:36:44	440	3:36:45	142	0	4	180.0	0
53810	1	1	2	0	9	1:06:26	392	1:13:28	176	3:36:51	174	1	1	900.0	0
1799	1	1	2	0	14	0:37:01	347	0:41:39	257	3:37:02	174	1	0	0.0	0
25443	1	1	2	0	15	0:25:02	37	0:37:04	423	3:37:05	142	0	1	495.0	0
15576	1	1	2	0	15	0:32:40	205	0:37:07	284	3:37:08	132	1	1	502.5	0
43152	1	1	2	0	15	0:32:12	417	0:37:12	325	3:37:13	174	1	1	930.0	0
48277	1	1	2	0	14	0:37:29	222	0:42:29	30	3:37:30	111	1	0	0.0	0
16822	1	1	2	0	15	0:28:37	93	0:37:41	437	3:37:42	174	0	1	210.0	0
39113	1	1	2	0	9	0:47:30	373	0:54:43	258	3:37:50	174	1	1	907.5	0
43481	1	1	2	0	14	0:37:50	347	0:42:28	255	3:37:51	174	1	0	0.0	0
51121	1	1	2	0	14	0:37:50	347	0:42:28	255	3:37:51	174	1	0	0.0	0
9455	1	1	2	0	15	0:29:30	144	0:38:01	282	3:38:02	132	1	2	997.5	0
10899	1	1	2	0	15	0:30:09	327	0:38:18	274	3:38:19	174	1	1	765.0	0
11625	1	1	2	0	14	0:38:35	221	0:43:35	276	3:38:36	111	1	0	0.0	0
6137	1	1	2	0	14	0:38:39	222	0:43:39	275	3:38:40	111	1	0	0.0	0
4758	1	1	2	0	14	0:38:40	348	0:48:06	61	3:38:41	174	1	0	0.0	0
10594	1	1	2	0	15	0:33:52	205	0:38:52	282	3:38:53	121	0	4	75.0	0
35638	1	1	2	0	15	0:31:06	144	0:38:53	279	3:38:54	121	0	1	277.5	0
40569	1	1	2	0	15	0:30:58	349	0:38:56	71	3:38:57	174	1	1	742.5	0
8866	1	1	2	0	9	1:37:32	348	1:40:41	434	3:39:03	174	0	2	892.5	0
41150	1	1	2	0	9	1:37:19	347	1:40:28	433	3:39:04	174	0	2	877.5	0
38827	1	1	2	0	15	0:29:46	89	0:40:19	435	3:40:20	163	0	2	885.0	0
32310	1	1	2	0	15	0:36:42	221	0:40:35	279	3:40:36	121	0	3	52.5	0
32140	1	1	2	0	15	0:33:54	94	0:40:45	432	3:40:46	142	0	1	345.0	0
50367	1	1	2	0	15	0:32:36	93	0:40:56	433	3:40:57	142	0	4	195.0	0
29301	1	1	2	0	15	0:34:13	94	0:41:04	432	3:41:05	142	0	1	637.5	0
13874	1	1	2	0	15	0:28:42	23	0:41:06	415	3:41:07	174	0	4	30.0	0
45842	1	1	2	0	15	0:32:03	72	0:41:18	428	3:41:19	163	0	1	810.0	0
31618	1	1	2	0	15	0:33:01	93	0:41:21	433	3:41:22	142	0	4	150.0	0
25464	1	1	2	0	15	0:30:32	17	0:41:27	409	3:41:28	164	0	1	900.0	0
2030	1	1	2	0	15	0:38:09	176	0:41:40	283	3:41:41	121	0	1	532.5	0
18878	1	1	2	0	14	0:41:55	348	0:50:59	57	3:41:56	174	1	0	0.0	0
51590	1	1	2	0	15	0:35:56	206	0:42:03	279	3:42:04	121	0	3	150.0	0
34079	1	1	2	0	14	0:42:10	347	0:50:30	57	3:42:11	174	1	0	0.0	0
56268	1	1	2	0	15	0:33:32	356	0:42:25	211	3:42:26	174	1	1	765.0	0
22843	1	1	2	0	15	0:35:55	93	0:42:46	430	3:42:47	163	0	4	97.5	0
26401	1	1	2	0	14	0:42:53	347	0:51:58	56	3:42:54	174	1	0	0.0	0
23652	1	1	2	0	15	0:36:19	93	0:43:10	429	3:43:11	142	0	4	210.0	0
46256	1	1	2	0	15	0:33:23	85	0:43:11	429	3:43:12	163	0	1	337.5	0
44759	1	1	2	0	15	0:32:12	26	0:43:29	413	3:43:30	174	0	2	982.5	0
58470	1	1	2	0	15	0:34:19	205	0:43:34	404	3:43:35	153	1	2	555.0	0
23514	1	1	2	0	15	0:36:58	205	0:44	277	3:44:01	121	0	2	127.5	0
5604	1	1	2	0	15	0:34:03	30	0:44:25	413	3:44:26	163	0	3	810.0	0
