LINK	DIR	START_TIME	END_TIME	AVG_VOLUME	IN_VOLUME	OUT_VOLUME	AVG_SPEED	AVG_TIME	AVG_DELAY	AVG_DENSITY	MAX_DENSITY	TIME_RATIO	AVG_QUEUE	MAX_QUEUE	NUM_FAIL	VMT	VHT	NCONNECT
OUT_LINK	OUT_DIR	OUT_TURN	OUT_TIME
1	0	0:00	0:15	27	27	26	20.63	48.48	-18.22	0.44	2.00	0.73	0.00	0	0	15945.0	773.0	0
1	1	0:00	0:15	21	21	21	20.55	48.66	-18.04	0.39	1.50	0.73	0.00	1	0	14000.0	681.2	0
2	0	0:00	0:15	51	51	50	19.06	52.48	-14.22	1.06	3.50	0.79	0.01	1	0	35490.0	1862.4	0
2	1	0:00	0:15	36	38	33	20.70	48.31	-18.39	0.80	3.00	0.72	0.00	0	0	29285.0	1414.9	0
3	0	0:00	0:15	35	35	35	20.31	49.23	-17.47	0.72	3.00	0.74	0.02	1	0	26000.0	1279.9	0
3	1	0:00	0:15	64	66	62	19.30	51.81	-14.89	1.42	5.00	0.78	0.03	2	0	48207.5	2497.4	0
4	0	0:00	0:15	45	46	44	20.79	48.11	-18.59	0.95	3.00	0.72	0.00	1	0	34917.5	1679.9	0
4	1	0:00	0:15	58	60	56	20.81	48.06	-18.64	1.32	4.00	0.72	0.00	0	0	48380.0	2325.3	0
5	0	0:00	0:15	81	81	80	19.20	52.08	-14.62	1.76	5.00	0.78	0.02	1	0	59272.5	3087.1	0
5	1	0:00	0:15	58	59	56	20.75	48.20	-18.50	1.37	4.50	0.72	0.00	0	0	50267.5	2422.9	0
6	0	0:00	0:15	51	51	51	20.57	48.61	-18.09	1.15	4.50	0.73	0.00	0	0	42000.0	2041.5	0
6	1	0:00	0:15	70	71	69	19.30	51.81	-14.89	1.70	5.50	0.78	0.03	2	0	57485.0	2978.1	0
7	0	0:00	0:15	51	51	51	20.85	47.96	-18.74	1.17	5.00	0.72	0.00	0	0	43000.0	2062.2	0
7	1	0:00	0:15	57	57	56	20.82	48.03	-18.67	1.16	4.50	0.72	0.00	0	0	42345.0	2033.7	0
8	0	0:00	0:15	45	46	43	19.42	51.50	-15.20	0.91	4.50	0.77	0.01	1	0	30917.5	1592.1	0
8	1	0:00	0:15	39	39	38	20.77	48.14	-18.56	0.86	4.50	0.72	0.00	0	0	31605.0	1521.5	0
9	0	0:00	0:15	25	25	24	20.52	48.73	-17.97	0.48	3.00	0.73	0.00	1	0	17270.0	841.5	0
9	1	0:00	0:15	53	54	51	19.17	52.17	-14.53	1.12	3.50	0.78	0.02	2	0	37635.0	1963.6	0
10	0	0:00	0:15	21	22	20	20.49	48.80	-17.90	0.29	1.50	0.73	0.00	0	0	10697.5	522.0	0
10	1	0:00	0:15	30	30	29	20.24	49.41	-17.29	0.46	3.50	0.74	0.00	0	0	16475.0	814.1	0
11	0	0:00	0:15	42	42	41	20.33	49.18	-17.52	0.59	2.50	0.74	0.00	0	0	21067.5	1036.1	0
11	1	0:00	0:15	20	20	19	20.30	49.27	-17.43	0.28	2.50	0.74	0.00	1	0	9875.0	486.5	0
12	0	0:00	0:15	41	41	40	20.63	48.47	-18.23	0.68	2.50	0.73	0.00	0	0	24570.0	1190.8	0
12	1	0:00	0:15	19	19	19	20.00	49.99	-16.71	0.30	2.00	0.75	0.00	1	0	10500.0	524.9	0
13	0	0:00	0:15	99	99	98	27.46	36.41	-7.99	0.83	2.50	0.82	0.00	0	0	80345.0	2925.6	0
13	1	0:00	0:15	37	37	37	27.12	36.87	-7.53	0.30	2.00	0.83	0.00	0	0	28500.0	1050.7	0
14	0	0:00	0:15	51	52	50	20.56	48.64	-18.06	0.95	3.00	0.73	0.00	0	0	34237.5	1665.4	0
14	1	0:00	0:15	28	28	27	20.21	49.49	-17.21	0.47	2.00	0.74	0.00	1	0	16785.0	830.7	0
15	0	0:00	0:15	39	40	38	20.55	48.67	-18.03	0.74	3.50	0.73	0.00	0	0	26702.5	1299.5	0
15	1	0:00	0:15	32	33	31	20.71	48.28	-18.42	0.62	2.50	0.72	0.00	0	0	22657.5	1094.0	0
16	0	0:00	0:15	99	100	97	27.64	36.18	-8.22	0.92	2.25	0.81	0.01	1	0	90012.5	3256.4	0
16	1	0:00	0:15	44	44	43	27.58	36.26	-8.14	0.37	1.75	0.82	0.00	0	0	35762.5	1296.9	0
17	0	0:00	0:15	44	44	43	20.59	48.57	-18.13	0.84	3.50	0.73	0.00	1	0	30467.5	1479.7	0
17	1	0:00	0:15	32	32	32	20.64	48.44	-18.26	0.58	2.00	0.73	0.00	0	0	21000.0	1017.2	0
18	0	0:00	0:15	47	47	46	20.54	48.69	-18.01	0.87	4.00	0.73	0.00	1	0	31467.5	1532.1	0
18	1	0:00	0:15	20	21	18	20.43	48.94	-17.76	0.31	1.50	0.73	0.00	0	0	11212.5	548.7	0
19	0	0:00	0:15	80	82	78	27.33	36.59	-7.81	0.68	2.00	0.82	0.01	1	0	65427.5	2394.0	0
19	1	0:00	0:15	47	47	47	27.17	36.81	-7.59	0.34	1.50	0.83	0.00	1	0	33000.0	1214.7	0
20	0	0:00	0:15	40	41	39	20.52	48.73	-17.97	0.75	3.00	0.73	0.00	1	0	27132.5	1322.2	0
20	1	0:00	0:15	36	37	35	20.60	48.54	-18.16	0.66	3.00	0.73	0.00	1	0	23905.0	1160.3	0
21	0	0:00	0:15	36	37	34	20.28	49.31	-17.39	0.54	3.00	0.74	0.00	0	0	19190.0	946.3	0
21	1	0:00	0:15	30	30	29	19.93	50.18	-16.52	0.41	3.50	0.75	0.00	1	0	14605.0	732.9	0
22	0	0:00	0:15	47	47	46	20.50	48.78	-17.92	0.85	3.50	0.73	0.00	1	0	30547.5	1490.1	0
22	1	0:00	0:15	24	24	24	20.51	48.75	-17.95	0.43	2.50	0.73	0.00	0	0	15500.0	755.7	0
23	0	0:00	0:15	72	75	68	18.68	53.52	-13.18	1.78	5.50	0.80	0.11	3	0	58302.5	3120.4	0
23	1	0:00	0:15	46	48	44	20.83	48.00	-18.70	1.03	3.50	0.72	0.00	0	0	38117.5	1829.6	0
24	0	0:00	0:15	59	60	58	20.63	48.47	-18.23	1.21	5.00	0.73	0.00	1	0	43877.5	2126.8	0
24	1	0:00	0:15	57	59	55	18.86	53.03	-13.67	1.37	4.50	0.80	0.10	2	0	45415.0	2408.4	0
25	0	0:00	0:15	74	76	72	20.66	48.40	-18.30	1.65	6.00	0.73	0.01	1	0	60127.5	2910.0	0
25	1	0:00	0:15	71	74	68	20.81	48.04	-18.66	1.61	6.00	0.72	0.00	1	0	59097.5	2839.2	0
26	0	0:00	0:15	83	84	81	18.21	54.92	-11.78	2.14	6.50	0.82	0.25	4	0	68545.0	3764.3	0
26	1	0:00	0:15	78	80	76	20.71	48.30	-18.40	1.76	5.50	0.72	0.00	1	0	64305.0	3105.7	0
