METADATA	Wed Dec 11 15:07:58 2013	BOX_LENGTH	0	CELL_LENGTH	7.5	SAMPLE_TIME	1	INCREMENT	86400	NUM_BINS	6	VEHICLE_TYPE	0	VEHICLE_SUBTYPE	0
LINK	DIR	OFFSET	TIME	SPEED0	SPEED1	SPEED2	SPEED3	SPEED4	SPEED5
1	0	1000.0	24:00	13	18	1398	5435	0	0
1	1	1000.0	24:00	67	151	2030	7920	0	0
2	0	1000.0	24:00	752	1051	3078	11978	0	0
2	1	1000.0	24:00	51	145	4001	14999	124	0
3	0	1000.0	24:00	46	113	3096	11667	64	0
3	1	1000.0	24:00	523	706	2942	11542	0	0
4	0	1000.0	24:00	32	74	3164	12113	0	0
4	1	1000.0	24:00	58	94	3415	13399	0	0
5	0	1000.0	24:00	811	1157	3806	15046	0	0
5	1	1000.0	24:00	46	141	4103	15659	125	0
6	0	1000.0	24:00	53	161	3873	15165	93	0
6	1	1000.0	24:00	717	1067	3338	13059	0	0
7	0	1000.0	24:00	63	104	3365	13421	0	0
7	1	1000.0	24:00	13	52	2683	10441	0	0
8	0	1000.0	24:00	514	732	2959	11638	0	0
8	1	1000.0	24:00	41	102	2600	9812	60	0
9	0	1000.0	24:00	61	169	3992	15337	139	0
9	1	1000.0	24:00	657	912	2687	10434	0	0
10	0	1000.0	24:00	57	134	1929	7682	0	0
10	1	1000.0	24:00	1	9	1464	5419	0	0
11	0	1000.0	24:00	1	10	1541	6070	0	0
11	1	1000.0	24:00	64	139	1795	7181	0	0
12	0	1000.0	24:00	8	29	2331	8991	0	0
12	1	1000.0	24:00	63	141	3307	12546	0	0
13	0	1000.0	24:00	24	139	826	5709	18918	0
13	1	1000.0	24:00	153	218	333	6441	23979	0
14	0	1000.0	24:00	31	49	2675	10996	0	0
14	1	1000.0	24:00	60	149	2890	11097	0	0
15	0	1000.0	24:00	31	55	2697	10295	0	0
15	1	1000.0	24:00	41	112	3073	11977	0	0
16	0	1000.0	24:00	107	226	1033	6710	22651	0
16	1	1000.0	24:00	109	190	324	7031	25977	0
17	0	1000.0	24:00	28	34	2502	9602	0	0
17	1	1000.0	24:00	65	126	3125	11704	0	0
18	0	1000.0	24:00	73	53	2607	9686	0	0
18	1	1000.0	24:00	68	159	3041	11476	0	0
19	0	1000.0	24:00	65	163	767	5344	17476	0
19	1	1000.0	24:00	184	282	371	6551	23841	0
20	0	1000.0	24:00	74	75	2559	10030	0	0
20	1	1000.0	24:00	61	144	3229	12460	0	0
21	0	1000.0	24:00	6	23	1370	5525	0	0
21	1	1000.0	24:00	76	136	1972	7874	0	0
22	0	1000.0	24:00	52	59	2457	9643	0	0
22	1	1000.0	24:00	59	158	2987	11509	0	0
23	0	1000.0	24:00	2836	1661	4985	18674	0	0
23	1	1000.0	24:00	76	244	6010	22811	141	0
24	0	1000.0	24:00	83	167	4056	15098	79	0
24	1	1000.0	24:00	1252	1152	4467	17433	0	0
25	0	1000.0	24:00	142	144	4736	18403	0	0
25	1	1000.0	24:00	56	137	4946	19337	0	0
26	0	1000.0	24:00	3304	1715	5484	21585	0	0
26	1	1000.0	24:00	78	248	5762	21691	122	0
27	0	1000.0	24:00	67	268	6578	24626	107	0
27	1	1000.0	24:00	2490	1679	5629	21273	0	0
28	0	1000.0	24:00	94	176	5387	21058	0	0
28	1	1000.0	24:00	43	87	4580	17593	0	0
29	0	1000.0	24:00	1843	1135	4733	18381	0	0
29	1	1000.0	24:00	53	171	3933	14440	65	0
30	0	1000.0	24:00	66	312	6068	21815	98	0
30	1	1000.0	24:00	1441	1520	4773	18497	0	0
31	0	1000.0	24:00	79	159	2998	11524	0	0
31	1	1000.0	24:00	6	43	2478	9364	0	0
32	0	1000.0	24:00	764	1050	3221	12242	0	0
32	1	1000.0	24:00	47	232	4012	15155	123	0
33	0	1000.0	24:00	1553	1572	4970	18639	0	0
33	1	1000.0	24:00	68	313	6601	23329	130	0
34	0	1000.0	24:00	25103	3404	1933	12883	44972	0
34	1	1000.0	24:00	277	743	2287	16042	51813	0
35	0	1000.0	24:00	344305	10849	5048	18878	0	0
35	1	1000.0	24:00	93	467	6877	23680	69	0
36	0	1000.0	24:00	921875	30426	3961	14358	0	0
