LOCATION	LINK	NODE	OFFSET	X_COORD	Y_COORD	ZONE
1	1	2	500	500	-15	1
2	1	1	500	500	15	1
3	2	3	500	1500	-15	1
4	2	2	500	1500	15	1
5	3	4	500	2500	-15	1
6	3	3	500	2500	15	1
7	4	5	500	3500	-15	1
8	4	4	500	3500	15	1
9	5	6	500	4500	-15	1
10	5	5	500	4500	15	1
11	6	7	500	5500	-15	1
12	6	6	500	5500	15	1
13	7	8	500	6500	-15	1
14	7	7	500	6500	15	1
15	8	9	500	7500	-15	1
16	8	8	500	7500	15	1
17	9	10	500	8500	-15	1
18	9	9	500	8500	15	1
19	10	11	500	9500	-15	1
20	10	10	500	9500	15	1
21	11	12	500	15	500	1
22	11	1	500	-15	500	1
23	12	13	500	1015	500	1
24	12	2	500	985	500	1
25	13	14	500	2015	500	1
26	13	3	500	1985	500	1
27	14	15	500	3015	500	1
28	14	4	500	2985	500	1
29	15	16	500	4015	500	1
30	15	5	500	3985	500	1
31	16	17	500	5015	500	1
32	16	6	500	4985	500	1
33	17	18	500	6015	500	1
34	17	7	500	5985	500	1
35	18	19	500	7015	500	1
36	18	8	500	6985	500	1
37	19	20	500	8015	500	1
38	19	9	500	7985	500	1
39	20	21	500	9015	500	1
40	20	10	500	8985	500	1
41	21	22	500	10015	500	1
42	21	11	500	9985	500	1
43	22	13	500	500	985	1
44	22	12	500	500	1015	1
45	23	14	500	1500	985	1
46	23	13	500	1500	1015	1
47	24	15	500	2500	985	1
48	24	14	500	2500	1015	1
49	25	16	500	3500	985	1
50	25	15	500	3500	1015	1
51	26	17	500	4500	985	1
52	26	16	500	4500	1015	1
53	27	18	500	5500	985	1
54	27	17	500	5500	1015	1
55	28	19	500	6500	985	1
56	28	18	500	6500	1015	1
57	29	20	500	7500	985	1
58	29	19	500	7500	1015	1
59	30	21	500	8500	985	1
60	30	20	500	8500	1015	1
61	31	22	500	9500	985	1
62	31	21	500	9500	1015	1
63	32	23	500	15	1500	1
64	32	12	500	-15	1500	1
65	33	24	500	1015	1500	1
66	33	13	500	985	1500	1
67	34	25	500	2015	1500	1
68	34	14	500	1985	1500	1
69	35	26	500	3015	1500	1
70	35	15	500	2985	1500	1
71	36	27	500	4015	1500	1
72	36	16	500	3985	1500	1
73	37	28	500	5015	1500	1
74	37	17	500	4985	1500	1
75	38	29	500	6015	1500	1
76	38	18	500	5985	1500	1
77	39	30	500	7015	1500	1
78	39	19	500	6985	1500	1
79	40	31	500	8015	1500	1
80	40	20	500	7985	1500	1
81	41	32	500	9015	1500	1
82	41	21	500	8985	1500	1
83	42	33	500	10015	1500	1
84	42	22	500	9985	1500	1
85	43	24	500	500	1985	1
86	43	23	500	500	2015	1
87	44	25	500	1500	1985	1
88	44	24	500	1500	2015	1
89	45	26	500	2500	1985	1
90	45	25	500	2500	2015	1
91	46	27	500	3500	1985	1
92	46	26	500	3500	2015	1
93	47	28	500	4500	1985	1
94	47	27	500	4500	2015	1
95	48	29	500	5500	1985	1
96	48	28	500	5500	2015	1
97	49	30	500	6500	1985	1
98	49	29	500	6500	2015	1
99	50	31	500	7500	1985	1
100	50	30	500	7500	2015	1
101	51	32	500	8500	1985	1
102	51	31	500	8500	2015	1
103	52	33	500	9500	1985	1
104	52	32	500	9500	2015	1
105	53	34	500	15	2500	1
106	53	23	500	-15	2500	1
107	54	35	500	1015	2500	1
108	54	24	500	985	2500	1
109	55	36	500	2015	2500	1
110	55	25	500	1985	2500	1
111	56	37	500	3015	2500	1
112	56	26	500	2985	2500	1
113	57	38	500	4015	2500	1
114	57	27	500	3985	2500	1
115	58	39	500	5015	2500	1
116	58	28	500	4985	2500	1
117	59	40	500	6015	2500	1
118	59	29	500	5985	2500	1
119	60	41	500	7015	2500	1
120	60	30	500	6985	2500	1
121	61	42	500	8015	2500	1
122	61	31	500	7985	2500	1
123	62	43	500	9015	2500	1
124	62	32	500	8985	2500	1
125	63	44	500	10015	2500	1
126	63	33	500	9985	2500	1
127	64	35	500	500	2985	1
128	64	34	500	500	3015	1
129	65	36	500	1500	2985	1
130	65	35	500	1500	3015	1
131	66	37	500	2500	2985	1
132	66	36	500	2500	3015	1
133	67	38	500	3500	2985	1
134	67	37	500	3500	3015	1
135	68	39	500	4500	2985	1
136	68	38	500	4500	3015	1
137	69	40	500	5500	2985	1
138	69	39	500	5500	3015	1
139	70	41	500	6500	2985	1
140	70	40	500	6500	3015	1
141	71	42	500	7500	2985	1
142	71	41	500	7500	3015	1
143	72	43	500	8500	2985	1
144	72	42	500	8500	3015	1
145	73	44	500	9500	2985	1
146	73	43	500	9500	3015	1
147	74	45	500	15	3500	1
148	74	34	500	-15	3500	1
149	75	46	500	1015	3500	1
150	75	35	500	985	3500	1
151	76	47	500	2015	3500	1
152	76	36	500	1985	3500	1
153	77	48	500	3015	3500	1
154	77	37	500	2985	3500	1
155	78	49	500	4015	3500	1
156	78	38	500	3985	3500	1
157	79	50	500	5015	3500	1
158	79	39	500	4985	3500	1
159	80	51	500	6015	3500	1
160	80	40	500	5985	3500	1
161	81	52	500	7015	3500	1
162	81	41	500	6985	3500	1
163	82	53	500	8015	3500	1
164	82	42	500	7985	3500	1
165	83	54	500	9015	3500	1
166	83	43	500	8985	3500	1
167	84	55	500	10015	3500	1
168	84	44	500	9985	3500	1
169	85	46	500	500	3985	1
170	85	45	500	500	4015	1
171	86	47	500	1500	3985	1
172	86	46	500	1500	4015	1
173	87	48	500	2500	3985	1
174	87	47	500	2500	4015	1
175	88	49	500	3500	3985	1
176	88	48	500	3500	4015	1
177	89	50	500	4500	3985	1
178	89	49	500	4500	4015	1
179	90	51	500	5500	3985	1
180	90	50	500	5500	4015	1
181	91	52	500	6500	3985	1
182	91	51	500	6500	4015	1
183	92	53	500	7500	3985	1
184	92	52	500	7500	4015	1
185	93	54	500	8500	3985	1
186	93	53	500	8500	4015	1
187	94	55	500	9500	3985	1
188	94	54	500	9500	4015	1
189	95	56	500	15	4500	1
190	95	45	500	-15	4500	1
191	96	57	500	1015	4500	1
192	96	46	500	985	4500	1
193	97	58	500	2015	4500	1
194	97	47	500	1985	4500	1
195	98	59	500	3015	4500	1
196	98	48	500	2985	4500	1
197	99	60	500	4015	4500	1
198	99	49	500	3985	4500	1
199	100	61	500	5015	4500	1
200	100	50	500	4985	4500	1
201	101	62	500	6015	4500	1
202	101	51	500	5985	4500	1
203	102	63	500	7015	4500	1
204	102	52	500	6985	4500	1
205	103	64	500	8015	4500	1
206	103	53	500	7985	4500	1
207	104	65	500	9015	4500	1
208	104	54	500	8985	4500	1
209	105	66	500	10015	4500	1
210	105	55	500	9985	4500	1
211	106	57	500	500	4985	1
212	106	56	500	500	5015	1
213	107	58	500	1500	4985	1
214	107	57	500	1500	5015	1
215	108	59	500	2500	4985	1
216	108	58	500	2500	5015	1
217	109	60	500	3500	4985	1
218	109	59	500	3500	5015	1
219	110	61	500	4500	4985	1
220	110	60	500	4500	5015	1
221	111	62	500	5500	4985	1
222	111	61	500	5500	5015	1
223	112	63	500	6500	4985	1
224	112	62	500	6500	5015	1
225	113	64	500	7500	4985	1
226	113	63	500	7500	5015	1
227	114	65	500	8500	4985	1
228	114	64	500	8500	5015	1
229	115	66	500	9500	4985	1
230	115	65	500	9500	5015	1
231	116	67	500	15	5500	1
232	116	56	500	-15	5500	1
233	117	68	500	1015	5500	1
234	117	57	500	985	5500	1
235	118	69	500	2015	5500	1
236	118	58	500	1985	5500	1
237	119	70	500	3015	5500	1
238	119	59	500	2985	5500	1
239	120	71	500	4015	5500	1
240	120	60	500	3985	5500	1
241	121	72	500	5015	5500	1
242	121	61	500	4985	5500	1
243	122	73	500	6015	5500	1
244	122	62	500	5985	5500	1
245	123	74	500	7015	5500	1
246	123	63	500	6985	5500	1
247	124	75	500	8015	5500	1
248	124	64	500	7985	5500	1
249	125	76	500	9015	5500	1
250	125	65	500	8985	5500	1
251	126	77	500	10015	5500	1
252	126	66	500	9985	5500	1
253	127	68	500	500	5985	1
254	127	67	500	500	6015	1
255	128	69	500	1500	5985	1
256	128	68	500	1500	6015	1
257	129	70	500	2500	5985	1
258	129	69	500	2500	6015	1
259	130	71	500	3500	5985	1
260	130	70	500	3500	6015	1
261	131	72	500	4500	5985	1
262	131	71	500	4500	6015	1
263	132	73	500	5500	5985	1
264	132	72	500	5500	6015	1
265	133	74	500	6500	5985	1
266	133	73	500	6500	6015	1
267	134	75	500	7500	5985	1
268	134	74	500	7500	6015	1
269	135	76	500	8500	5985	1
270	135	75	500	8500	6015	1
271	136	77	500	9500	5985	1
272	136	76	500	9500	6015	1
273	137	78	500	15	6500	1
274	137	67	500	-15	6500	1
275	138	79	500	1015	6500	1
276	138	68	500	985	6500	1
277	139	80	500	2015	6500	1
278	139	69	500	1985	6500	1
279	140	81	500	3015	6500	1
280	140	70	500	2985	6500	1
281	141	82	500	4015	6500	1
282	141	71	500	3985	6500	1
283	142	83	500	5015	6500	1
284	142	72	500	4985	6500	1
285	143	84	500	6015	6500	1
286	143	73	500	5985	6500	1
287	144	85	500	7015	6500	1
288	144	74	500	6985	6500	1
289	145	86	500	8015	6500	1
290	145	75	500	7985	6500	1
291	146	87	500	9015	6500	1
292	146	76	500	8985	6500	1
293	147	88	500	10015	6500	1
294	147	77	500	9985	6500	1
295	148	79	500	500	6985	1
296	148	78	500	500	7015	1
297	149	80	500	1500	6985	1
298	149	79	500	1500	7015	1
299	150	81	500	2500	6985	1
300	150	80	500	2500	7015	1
301	151	82	500	3500	6985	1
302	151	81	500	3500	7015	1
303	152	83	500	4500	6985	1
304	152	82	500	4500	7015	1
305	153	84	500	5500	6985	1
306	153	83	500	5500	7015	1
307	154	85	500	6500	6985	1
308	154	84	500	6500	7015	1
309	155	86	500	7500	6985	1
310	155	85	500	7500	7015	1
311	156	87	500	8500	6985	1
312	156	86	500	8500	7015	1
313	157	88	500	9500	6985	1
314	157	87	500	9500	7015	1
315	158	89	500	15	7500	1
316	158	78	500	-15	7500	1
317	159	90	500	1015	7500	1
318	159	79	500	985	7500	1
319	160	91	500	2015	7500	1
320	160	80	500	1985	7500	1
321	161	92	500	3015	7500	1
322	161	81	500	2985	7500	1
323	162	93	500	4015	7500	1
324	162	82	500	3985	7500	1
325	163	94	500	5015	7500	1
326	163	83	500	4985	7500	1
327	164	95	500	6015	7500	1
328	164	84	500	5985	7500	1
329	165	96	500	7015	7500	1
330	165	85	500	6985	7500	1
331	166	97	500	8015	7500	1
332	166	86	500	7985	7500	1
333	167	98	500	9015	7500	1
334	167	87	500	8985	7500	1
335	168	99	500	10015	7500	1
336	168	88	500	9985	7500	1
337	169	90	500	500	7985	1
338	169	89	500	500	8015	1
339	170	91	500	1500	7985	1
340	170	90	500	1500	8015	1
341	171	92	500	2500	7985	1
342	171	91	500	2500	8015	1
343	172	93	500	3500	7985	1
344	172	92	500	3500	8015	1
345	173	94	500	4500	7985	1
346	173	93	500	4500	8015	1
347	174	95	500	5500	7985	1
348	174	94	500	5500	8015	1
349	175	96	500	6500	7985	1
350	175	95	500	6500	8015	1
351	176	97	500	7500	7985	1
352	176	96	500	7500	8015	1
353	177	98	500	8500	7985	1
354	177	97	500	8500	8015	1
355	178	99	500	9500	7985	1
356	178	98	500	9500	8015	1
357	179	100	500	15	8500	1
358	179	89	500	-15	8500	1
359	180	101	500	1015	8500	1
360	180	90	500	985	8500	1
361	181	102	500	2015	8500	1
362	181	91	500	1985	8500	1
363	182	103	500	3015	8500	1
364	182	92	500	2985	8500	1
365	183	104	500	4015	8500	1
366	183	93	500	3985	8500	1
367	184	105	500	5015	8500	1
368	184	94	500	4985	8500	1
369	185	106	500	6015	8500	1
370	185	95	500	5985	8500	1
371	186	107	500	7015	8500	1
372	186	96	500	6985	8500	1
373	187	108	500	8015	8500	1
374	187	97	500	7985	8500	1
375	188	109	500	9015	8500	1
376	188	98	500	8985	8500	1
377	189	110	500	10015	8500	1
378	189	99	500	9985	8500	1
379	190	101	500	500	8985	1
380	190	100	500	500	9015	1
381	191	102	500	1500	8985	1
382	191	101	500	1500	9015	1
383	192	103	500	2500	8985	1
384	192	102	500	2500	9015	1
385	193	104	500	3500	8985	1
386	193	103	500	3500	9015	1
387	194	105	500	4500	8985	1
388	194	104	500	4500	9015	1
389	195	106	500	5500	8985	1
390	195	105	500	5500	9015	1
391	196	107	500	6500	8985	1
392	196	106	500	6500	9015	1
393	197	108	500	7500	8985	1
394	197	107	500	7500	9015	1
395	198	109	500	8500	8985	1
396	198	108	500	8500	9015	1
397	199	110	500	9500	8985	1
398	199	109	500	9500	9015	1
399	200	111	500	15	9500	1
400	200	100	500	-15	9500	1
401	201	112	500	1015	9500	1
402	201	101	500	985	9500	1
403	202	113	500	2015	9500	1
404	202	102	500	1985	9500	1
405	203	114	500	3015	9500	1
406	203	103	500	2985	9500	1
407	204	115	500	4015	9500	1
408	204	104	500	3985	9500	1
409	205	116	500	5015	9500	1
410	205	105	500	4985	9500	1
411	206	117	500	6015	9500	1
412	206	106	500	5985	9500	1
413	207	118	500	7015	9500	1
414	207	107	500	6985	9500	1
415	208	119	500	8015	9500	1
416	208	108	500	7985	9500	1
417	209	120	500	9015	9500	1
418	209	109	500	8985	9500	1
419	210	121	500	10015	9500	1
420	210	110	500	9985	9500	1
421	211	112	500	500	9985	1
422	211	111	500	500	10015	1
423	212	113	500	1500	9985	1
424	212	112	500	1500	10015	1
425	213	114	500	2500	9985	1
426	213	113	500	2500	10015	1
427	214	115	500	3500	9985	1
428	214	114	500	3500	10015	1
429	215	116	500	4500	9985	1
430	215	115	500	4500	10015	1
431	216	117	500	5500	9985	1
432	216	116	500	5500	10015	1
433	217	118	500	6500	9985	1
434	217	117	500	6500	10015	1
435	218	119	500	7500	9985	1
436	218	118	500	7500	10015	1
437	219	120	500	8500	9985	1
438	219	119	500	8500	10015	1
439	220	121	500	9500	9985	1
440	220	120	500	9500	10015	1
