LINK	ANODE	BNODE	LENGTH	SETBACK_A	SETBACK_B	BEARING_A	BEARING_B	TYPE	LANES_AB	LEFT_AB	RIGHT_AB	SPEED_AB	FSPD_AB	CAP_AB	LANES_BA	LEFT_BA	RIGHT_BA	SPEED_BA	FSPD_BA	CAP_BA	USE
1	1	2	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
2	2	3	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
3	3	4	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
4	4	5	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
5	5	6	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
6	6	7	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
7	7	8	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
8	8	9	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
9	9	10	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
10	10	11	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
11	1	12	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
12	2	13	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
13	3	14	1000.00	0.0	0.0	0	0	PRINCIPAL	4	0	0	30.0	22.5	5600	4	0	0	30.0	22.5	5600	ANY
14	4	15	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
15	5	16	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
16	6	17	1000.00	0.0	0.0	0	0	PRINCIPAL	4	0	0	30.0	22.5	5600	4	0	0	30.0	22.5	5600	ANY
17	7	18	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
18	8	19	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
19	9	20	1000.00	0.0	0.0	0	0	PRINCIPAL	4	0	0	30.0	22.5	5600	4	0	0	30.0	22.5	5600	ANY
20	10	21	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
21	11	22	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
22	12	13	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
23	13	14	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
24	14	15	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
25	15	16	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
26	16	17	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
27	17	18	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
28	18	19	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
29	19	20	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
30	20	21	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
31	21	22	1000.00	0.0	0.0	90	90	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
32	12	23	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
33	13	24	1000.00	0.0	0.0	0	0	MAJOR	2	0	0	22.5	15.0	1600	2	0	0	22.5	15.0	1600	ANY
34	14	25	1000.00	0.0	0.0	0	0	PRINCIPAL	4	0	0	30.0	22.5	5600	4	0	0	30.0	22.5	5600	ANY
