NODE	X_COORD	Y_COORD
1	0	0
2	1000	0
3	2000	0
4	3000	0
5	4000	0
6	5000	0
7	6000	0
8	7000	0
9	8000	0
10	9000	0
11	10000	0
12	0	1000
13	1000	1000
14	2000	1000
15	3000	1000
16	4000	1000
17	5000	1000
18	6000	1000
19	7000	1000
20	8000	1000
21	9000	1000
22	10000	1000
23	0	2000
24	1000	2000
25	2000	2000
26	3000	2000
27	4000	2000
28	5000	2000
29	6000	2000
30	7000	2000
31	8000	2000
32	9000	2000
33	10000	2000
34	0	3000
35	1000	3000
36	2000	3000
37	3000	3000
38	4000	3000
39	5000	3000
40	6000	3000
41	7000	3000
42	8000	3000
43	9000	3000
44	10000	3000
45	0	4000
46	1000	4000
47	2000	4000
48	3000	4000
49	4000	4000
50	5000	4000
51	6000	4000
52	7000	4000
53	8000	4000
54	9000	4000
55	10000	4000
56	0	5000
57	1000	5000
58	2000	5000
59	3000	5000
60	4000	5000
61	5000	5000
62	6000	5000
63	7000	5000
64	8000	5000
65	9000	5000
66	10000	5000
67	0	6000
68	1000	6000
69	2000	6000
70	3000	6000
71	4000	6000
72	5000	6000
73	6000	6000
74	7000	6000
75	8000	6000
76	9000	6000
77	10000	6000
78	0	7000
79	1000	7000
80	2000	7000
81	3000	7000
82	4000	7000
83	5000	7000
84	6000	7000
85	7000	7000
86	8000	7000
87	9000	7000
88	10000	7000
89	0	8000
90	1000	8000
91	2000	8000
92	3000	8000
93	4000	8000
94	5000	8000
95	6000	8000
96	7000	8000
97	8000	8000
98	9000	8000
99	10000	8000
100	0	9000
101	1000	9000
102	2000	9000
103	3000	9000
104	4000	9000
105	5000	9000
106	6000	9000
107	7000	9000
108	8000	9000
109	9000	9000
110	10000	9000
111	0	10000
112	1000	10000
113	2000	10000
114	3000	10000
115	4000	10000
116	5000	10000
117	6000	10000
118	7000	10000
119	8000	10000
120	9000	10000
121	10000	10000
