NODE	X_COORD	Y_COORD	Z_COORD
1	0.00	0.00	0
2	1000.00	0.00	0
3	2000.00	0.00	0
4	3000.00	0.00	0
5	4000.00	0.00	0
6	5000.00	0.00	0
7	6000.00	0.00	0
8	7000.00	0.00	0
9	8000.00	0.00	0
10	9000.00	0.00	0
11	10000.00	0.00	0
12	0.00	1000.00	0
13	1000.00	1000.00	0
14	2000.00	1000.00	0
15	3000.00	1000.00	0
16	4000.00	1000.00	0
17	5000.00	1000.00	0
18	6000.00	1000.00	0
19	7000.00	1000.00	0
20	8000.00	1000.00	0
21	9000.00	1000.00	0
22	10000.00	1000.00	0
23	0.00	2000.00	0
24	1000.00	2000.00	0
25	2000.00	2000.00	0
26	3000.00	2000.00	0
27	4000.00	2000.00	0
28	5000.00	2000.00	0
29	6000.00	2000.00	0
30	7000.00	2000.00	0
31	8000.00	2000.00	0
32	9000.00	2000.00	0
33	10000.00	2000.00	0
34	0.00	3000.00	0
35	1000.00	3000.00	0
36	2000.00	3000.00	0
37	3000.00	3000.00	0
38	4000.00	3000.00	0
39	5000.00	3000.00	0
40	6000.00	3000.00	0
41	7000.00	3000.00	0
42	8000.00	3000.00	0
43	9000.00	3000.00	0
44	10000.00	3000.00	0
45	0.00	4000.00	0
46	1000.00	4000.00	0
47	2000.00	4000.00	0
48	3000.00	4000.00	0
49	4000.00	4000.00	0
50	5000.00	4000.00	0
51	6000.00	4000.00	0
52	7000.00	4000.00	0
53	8000.00	4000.00	0
54	9000.00	4000.00	0
55	10000.00	4000.00	0
56	0.00	5000.00	0
57	1000.00	5000.00	0
58	2000.00	5000.00	0
59	3000.00	5000.00	0
60	4000.00	5000.00	0
61	5000.00	5000.00	0
62	6000.00	5000.00	0
63	7000.00	5000.00	0
64	8000.00	5000.00	0
65	9000.00	5000.00	0
66	10000.00	5000.00	0
67	0.00	6000.00	0
68	1000.00	6000.00	0
69	2000.00	6000.00	0
70	3000.00	6000.00	0
71	4000.00	6000.00	0
72	5000.00	6000.00	0
73	6000.00	6000.00	0
74	7000.00	6000.00	0
75	8000.00	6000.00	0
76	9000.00	6000.00	0
77	10000.00	6000.00	0
78	0.00	7000.00	0
79	1000.00	7000.00	0
80	2000.00	7000.00	0
81	3000.00	7000.00	0
82	4000.00	7000.00	0
83	5000.00	7000.00	0
84	6000.00	7000.00	0
85	7000.00	7000.00	0
86	8000.00	7000.00	0
87	9000.00	7000.00	0
88	10000.00	7000.00	0
89	0.00	8000.00	0
90	1000.00	8000.00	0
91	2000.00	8000.00	0
92	3000.00	8000.00	0
93	4000.00	8000.00	0
94	5000.00	8000.00	0
95	6000.00	8000.00	0
96	7000.00	8000.00	0
97	8000.00	8000.00	0
98	9000.00	8000.00	0
99	10000.00	8000.00	0
100	0.00	9000.00	0
101	1000.00	9000.00	0
102	2000.00	9000.00	0
103	3000.00	9000.00	0
104	4000.00	9000.00	0
105	5000.00	9000.00	0
106	6000.00	9000.00	0
107	7000.00	9000.00	0
108	8000.00	9000.00	0
109	9000.00	9000.00	0
110	10000.00	9000.00	0
111	0.00	10000.00	0
112	1000.00	10000.00	0
113	2000.00	10000.00	0
114	3000.00	10000.00	0
115	4000.00	10000.00	0
116	5000.00	10000.00	0
117	6000.00	10000.00	0
118	7000.00	10000.00	0
119	8000.00	10000.00	0
120	9000.00	10000.00	0
121	10000.00	10000.00	0
