PLAN	PHASE	NEXTPHASES	GREENMIN	GREENMAX	GREENEXT	YELLOW	REDCLEAR	GROUPFIRST	NOTES	BARRIER
1	1	2	26	0	0	3	1	1	NODE 25	0
1	2	1	26	0	0	3	1	0	NODE 25	0
2	1	2	26	0	0	3	1	1	NODE 28	0
2	2	1	26	0	0	3	1	0	NODE 28	0
3	1	2	26	0	0	3	1	1	NODE 31	0
3	2	1	26	0	0	3	1	0	NODE 31	0
4	1	2	26	0	0	3	1	1	NODE 58	0
4	2	1	26	0	0	3	1	0	NODE 58	0
5	1	2	26	0	0	3	1	1	NODE 61	0
5	2	1	26	0	0	3	1	0	NODE 61	0
6	1	2	26	0	0	3	1	1	NODE 64	0
6	2	1	26	0	0	3	1	0	NODE 64	0
7	1	2	26	0	0	3	1	1	NODE 91	0
7	2	1	26	0	0	3	1	0	NODE 91	0
8	1	2	26	0	0	3	1	1	NODE 94	0
8	2	1	26	0	0	3	1	0	NODE 94	0
9	1	2	26	0	0	3	1	1	NODE 97	0
9	2	1	26	0	0	3	1	0	NODE 97	0
